g1,g2,id1,id2,r_pair,pDockQ,bridge,bridge_min_r,r_bridge_g1,r_bridge_g2,alts
MRPL13,MRPL37,Q9BYD1,Q9BZE1,0.592,0.031,MRPL18,0.606,0.694,0.606,"['MRPL23', 'MRPL21', 'MRPL15']"
MRPL20,MRPL19,Q9BYC9,P49406,0.582,0.031,MRPL32,0.602,0.644,0.602,"['MRPL15', 'MRPL18', 'MRPL39']"
ACAD9,ECSIT,Q9H845,Q9BQ95,0.572,0.051,FOXRED1,0.607,0.607,0.616,"['NDUFB8', 'NDUFS2', 'NDUFA10']"
SEPHS1,QRICH1,P49903,Q2TAL8,0.572,0.048,MDM2,0.22,0.22,0.245,"['OGA', 'PPM1D', 'DDX31']"
MRPL2,MRPL47,Q5T653,Q9HD33,0.568,0.033,MRPS6,0.659,0.68,0.659,"['LARS2', 'MRPS24', 'MTG2']"
WASHC5,WASHC3,Q12768,Q9Y3C0,0.562,0.038,WASHC4,0.576,0.587,0.576,"['CCDC22', 'COMMD3', 'COMMD2']"
MRPL47,MRPL40,Q9HD33,Q9NQ50,0.561,0.034,MRPL20,0.657,0.657,0.666,"['LARS2', 'MRPL17', 'MRPS6']"
GADD45GIP1,MRPL19,Q8TAE8,P49406,0.556,0.031,MRPL15,0.602,0.621,0.602,"['MRPL39', 'MRPL13', 'MRPL46']"
MRPL47,MRPL11,Q9HD33,Q9Y3B7,0.534,0.034,NARS2,0.565,0.623,0.565,"['MRPL18', 'MRPL23', 'MRPL21']"
MRPL22,MRPL47,Q9NWU5,Q9HD33,0.534,0.032,MRPL21,0.627,0.627,0.646,"['GFM1', 'MRPS6', 'MRPS14']"
MRPL47,GADD45GIP1,Q9HD33,Q8TAE8,0.534,0.031,MRPL43,0.637,0.637,0.641,"['MARS2', 'MRPS24', 'MRPL39']"
NDUFS3,NDUFV2,O75489,P19404,0.522,0.031,NDUFS1,0.568,0.568,0.758,"['NDUFA1', 'NDUFS2', 'NDUFB10']"
MRPL47,MRPL19,Q9HD33,P49406,0.521,0.031,MRPL39,0.593,0.632,0.593,"['MRPL15', 'MRPL13', 'MRPL46']"
MRPL37,MRPL11,Q9BZE1,Q9Y3B7,0.52,0.031,MRPL18,0.562,0.606,0.562,"['MRPL23', 'MRPL21', 'NARS2']"
MRPL37,MRPL40,Q9BZE1,Q9NQ50,0.517,0.033,MRPL18,0.606,0.606,0.634,"['MRPL23', 'MRPL21', 'MRPL15']"
MRPL22,MRPL37,Q9NWU5,Q9BZE1,0.494,0.032,MRPL21,0.602,0.627,0.602,"['MRPL20', 'MRPS6', 'LARS2']"
MRPS33,MRPS9,Q9Y291,P82933,0.493,0.031,MRPS24,0.607,0.607,0.65,"['MRPS6', 'MRPL20', 'MRPS25']"
HAX1,CLPB,O00165,Q9H078,0.472,0.047,MTX2,0.356,0.356,0.402,"['MTCH2', 'DNAJC11', 'HTRA2']"
MRPL22,MRPL2,Q9NWU5,Q5T653,0.461,0.031,MRPL21,0.627,0.627,0.628,"['MRPS6', 'MRPL20', 'LARS2']"
MRPL40,MRPL11,Q9NQ50,Q9Y3B7,0.458,0.034,NARS2,0.565,0.582,0.565,"['MRPL18', 'MRPL23', 'MRPL21']"
MRPL30,MRPL47,Q8TCC3,Q9HD33,0.451,0.032,MRPL13,0.605,0.605,0.616,"['MRPS14', 'MRPL16', 'MRPL15']"
MRPL37,MRPL30,Q9BZE1,Q8TCC3,0.44,0.031,MRPL18,0.606,0.606,0.61,"['MRPL13', 'MRPL15', 'MRPL39']"
MORF4L1,EMSY,Q9UBU8,Q7Z589,0.434,0.045,PHF12,0.418,0.418,0.643,"['SIN3B', 'GATAD1', 'KDM5A']"
MRPL13,MRPL1,Q9BYD1,Q9BYD6,0.427,0.031,MRM3,0.486,0.599,0.486,"['GRSF1', 'MRPL18', 'GTPBP10']"
KAT2A,TADA3,Q92830,O75528,0.407,0.053,TADA2B,0.486,0.486,0.663,"['SGF29', 'TAF5L', 'SUPT20H']"
MRPL30,MRPL1,Q8TCC3,Q9BYD6,0.4,0.031,GRSF1,0.474,0.496,0.474,"['MRM3', 'MRPL18', 'GTPBP10']"
MTX2,CHCHD3,O75431,Q9NX63,0.39,0.038,MTCH2,0.38,0.497,0.38,"['TAFAZZIN', 'DNAJC11', 'HTRA2']"
