uid,group,entry,bridged_frac,n_entities,n_chains,pair_contacts
P13725_P40189,confident,8v29,0.0,3,3,61
P13807_P46976,confident,8cvx,0.0,2,8,76
P15884_Q15672,confident,8osb,0.0,5,3,64
P15927_P23025,confident,9pd4,0.40540540540540543,16,14,39
P16383_Q9UBB9,confident,9s2e,0.0,39,38,182
P17980_Q16401,low,9pro,0.6,20,20,25
P18859_P48047,low,8h9u,0.5555555555555556,17,28,10
P19438_Q15628,confident,9vin,0.058823529411764705,3,31,21
P20248_Q9BY12,low,9hj1,0.0,3,3,35
P20585_P40692,confident,9p4b,0.0,2,5,18
P20618_Q9Y244,low,8yix,0.7222222222222222,17,17,27
P24539_P48047,confident,8ki3,0.3157894736842105,17,28,43
P24539_P56385,low,8h9j,0.7857142857142857,12,19,16
P25789_Q9Y244,low,8tm5,0.6538461538461539,13,13,30
P28066_Q9Y244,low,8yix,0.8181818181818182,17,17,12
P30049_P36542,confident,8h9f,0.2982456140350877,12,19,81
P31040_Q5VUM1,low,8dye,0.0,2,2,117
P35998_Q16401,low,9pro,0.11428571428571428,20,20,34
P36873_Q9UQ13,confident,7sd0,0.0425531914893617,3,3,49
P37198_Q99567,confident,7r5k,0.4971751412429379,25,101,205
P38646_Q9HAV7,confident,9bls,0.17857142857142858,3,4,59
P40429_Q99848,confident,8fkq,0.0,43,40,17
P40692_Q9Y2M0,low,9woy,0.0,2,4,58
P41743_Q6P1M3,low,9ejk,0.0,3,3,111
P42695_Q6IBW4,confident,9f5w,0.06666666666666667,6,6,132
P42704_Q9GZT3,low,9olf,0.0,94,93,30
P43358_Q9NS91,low,9bd3,0.0,2,4,55
P46087_Q8WTT2,low,8fkx,0.15,53,50,27
P49321_P84243,low,7v1m,0.25,4,8,29
P49321_Q9NVP2,confident,7v1m,0.625,4,8,5
P49366_P63241,low,8a0e,0.30434782608695654,3,5,32
P49368_Q9H2J4,low,8i6j,0.0,2,2,41
P49720_Q9Y244,low,8tm4,0.9473684210526315,13,13,18
P49755_Q15363,confident,21gl,0.33695652173913043,4,4,111
P49755_Q9Y3A6,confident,21gm,0.4838709677419355,4,4,77
P49903_Q2TAL8,low,9hjt,0.1643835616438356,5,5,96
P49959_Q92878,confident,9q9i,0.06923076923076923,5,5,166
P50990_Q9H2J4,low,7nvm,0.7692307692307693,11,20,17
P50991_Q9H2J4,low,8i9q,0.0,2,2,13
P55072_Q9H867,low,7oat,0.0,3,3,71
P55735_Q6PJI9,confident,9oti,0.0,6,18,191
P55735_Q9NXC5,low,9lvj,0.2222222222222222,6,18,15
P55854_Q5W0Q7,low,7zju,0.11764705882352941,2,4,66
P56279_Q9Y6K1,low,9lq1,0.0,2,6,34
P56524_Q02078,low,7xuz,0.5,4,6,35
P57081_Q9UBP6,confident,8eg0,0.0,3,2,69
P61163_Q14203,low,9b7j,0.36363636363636365,14,25,45
P61163_Q9NZ32,confident,9b7j,0.06382978723404255,14,25,50
P62136_Q9UQ13,confident,7tvf,0.031746031746031744,3,6,67
P62191_Q16401,low,9pro,0.1935483870967742,20,20,32
P62195_Q16401,low,9pro,0.9047619047619048,20,20,22
P62333_Q16401,low,9pro,1.0,20,20,16
P62424_Q8IY81,low,8fks,0.4166666666666667,47,44,14
P62424_Q9BYG3,low,8fkr,0.2857142857142857,51,48,25
P63151_Q96E09,low,8so0,0.07407407407407407,4,4,30
P63172_Q8WW35,confident,8rgi,0.0,2,2,152
P63208_Q9UK99,confident,9kbd,0.02666666666666667,4,4,103
P68431_Q13111,low,8iqg,0.4528301886792453,5,5,60
P80370_Q13705,low,9d20,0.02702702702702703,2,4,50
Q07817_Q96LC9,confident,8iqk,0.0,2,8,68
Q12904_Q13155,confident,8j9s,0.0,2,3,27
Q13283_Q14694,low,8th6,0.0,2,8,47
Q13352_Q71F23,low,9tax,0.5531914893617021,22,25,65
Q13352_Q7L2Z9,low,9tax,0.41509433962264153,22,25,63
Q13352_Q9BU64,confident,9tax,0.25,22,25,24
Q13363_Q96JN0,confident,9wrj,0.0,2,2,29
Q13547_Q9UKL0,low,8vrt,0.018518518518518517,3,4,133
Q13561_Q14203,confident,9b7j,0.5299145299145299,14,25,150
Q13573_Q96DF8,confident,9s2e,0.37735849056603776,39,38,59
Q13596_Q9Y5X3,confident,8afz,0.0,3,3,170
Q14457_Q6ZNE5,confident,9tz3,0.1095890410958904,5,6,281
Q14457_Q96F24,low,9rx7,0.35714285714285715,5,6,28
Q15007_Q5T200,low,7vf2,0.4166666666666667,3,4,14
Q15024_Q8TF46,low,9g8m,0.125,92,87,29
Q15050_Q8TDN6,low,8fkx,0.4827586206896552,53,50,39
Q15050_Q99848,confident,8fkv,0.46,56,53,60
Q15363_Q9BVK6,confident,21gm,0.5303030303030303,4,4,70
Q15363_Q9Y3A6,confident,21gl,0.90625,4,4,31
Q15506_Q96C74,confident,8j07,0.2,106,974,54
Q15906_Q9NPF5,low,8xvg,0.5333333333333333,9,14,40
Q15906_Q9Y230,low,9y3e,0.1956521739130435,15,22,69
Q15906_Q9Y265,low,8x1c,0.2153846153846154,16,23,94
Q16533_Q5SXM2,low,7zwd,0.4666666666666667,24,22,29
Q16533_Q92966,confident,9fsq,0.015384615384615385,25,23,192
Q16777_Q16778,confident,7u0g,0.2184873949579832,8,13,184
Q16878_Q96CX6,confident,9t7v,0.0,9,9,39
Q53G59_Q9H4M7,low,8oio,0.0,2,8,29
Q53G59_Q9UBV8,low,8rbh,0.0,2,4,39
Q567U6_Q86VX2,low,8p0w,0.4782608695652174,12,12,29
Q567U6_Q86X83,confident,8f2u,0.15217391304347827,12,12,49
Q567U6_Q8TCE6,confident,8p0v,0.4230769230769231,5,5,22
Q567U6_Q9UBI1,low,8p0w,0.6428571428571429,12,12,12
Q5EBL4_Q86T03,low,9qm9,0.0,2,3,55
Q5JPE7_Q969V3,low,9c7v,0.041666666666666664,12,12,96
Q5JVF3_Q96PV6,confident,9dlv,0.08620689655172414,4,4,81
Q5JVL4_Q969V4,low,7ung,0.0,35,435,15
Q5SY16_Q9Y4W2,confident,26lk,0.0136986301369863,2,4,223
Q5TKA1_Q96GY3,confident,7r1d,0.16071428571428573,3,3,66
Q5VU69_Q9Y5B8,confident,8j07,0.18518518518518517,106,974,30
Q658Y4_Q9HAS0,confident,24ip,0.0,3,6,50
Q68CZ6_Q96CS2,confident,7sqk,0.7777777777777778,8,8,44
Q68CZ6_Q9H6D7,confident,7sqk,0.75,8,8,93
Q6IA86_Q9H9T3,confident,8ptx,0.0,4,4,37
Q6IBW4_Q86XI2,confident,9f5w,0.058823529411764705,6,6,87
Q6IBW4_Q9NTJ3,confident,9f5w,0.0,6,6,83
Q6IPU0_Q71F23,confident,9tax,0.3780487804878049,22,25,122
Q6IPU0_Q7L2Z9,low,7pb8,0.31746031746031744,5,5,77
Q6IPU0_Q9BU64,confident,9tax,0.16279069767441862,22,25,115
Q6NZ67_Q96RT7,low,9qvm,0.9166666666666666,11,48,16
Q6NZ67_Q9BSJ2,confident,9qvm,0.13861386138613863,11,48,145
Q6P582_Q96RT7,low,8rx1,1.0,10,45,5
Q6P9B9_Q96N11,confident,8rc4,0.0,16,16,99
Q6PI98_Q9Y230,low,9ge5,0.08695652173913043,13,16,31
Q6PI98_Q9Y265,low,9gev,0.5,12,18,11
Q6SPF0_Q96JM7,confident,8y77,0.0,2,2,29
Q6UWZ7_Q9NWV8,low,9smp,0.9411764705882353,9,18,15
Q6ZNE5_Q8NEB9,low,9mhg,0.42857142857142855,5,5,15
Q71F23_Q7L2Z9,confident,9tax,0.32558139534883723,22,25,233
Q7L5Y9_Q9H871,confident,8pjn,0.06716417910447761,4,4,381
Q7Z3J2_Q9UBQ0,confident,8syn,0.0,3,3,141
Q7Z4G1_Q8N668,confident,8f2u,0.40217391304347827,12,12,111
Q7Z4G1_Q9H0A8,confident,8p0w,0.9310344827586207,12,12,43
Q7Z4H7_Q99871,confident,7sqk,0.39344262295081966,8,8,72
Q7Z4H7_Q9NVX0,confident,7sqk,0.3103448275862069,8,8,113
Q7Z4L5_Q96FT9,low,8fgw,0.06976744186046512,6,6,44
Q7Z6J9_Q8NCE0,confident,8iss,0.09302325581395349,5,4,179
Q86UE8_Q9Y294,confident,7lo0,0.0,2,24,31
Q86VS8_Q8N612,low,8qat,0.023255813953488372,3,4,53
Q86VS8_Q9H8T0,confident,8qat,0.20930232558139536,3,4,50
Q86VX2_Q9Y6G5,confident,8esd,0.7619047619047619,4,4,18
Q86X83_Q9H0A8,confident,8f2u,0.8421052631578947,12,12,16
Q86X83_Q9UBI1,confident,8p0w,0.5045045045045045,12,12,147
Q86XP3_Q9BWJ5,low,7evn,0.4166666666666667,5,5,11
Q86XR8_Q96MT8,confident,9i7q,0.0,2,2,34
Q86YC2_Q9UBU8,low,7s4a,0.1702127659574468,2,4,57
Q8IW40_Q9Y230,confident,29jr,0.18518518518518517,3,7,25
Q8IWY9_Q9Y294,confident,9cvc,0.15315315315315314,2,5,140
Q8IXW5_Q9UHW5,low,9t5j,0.47368421052631576,3,3,49
Q8IY18_Q8WV22,confident,9lwj,0.0,10,10,41
Q8IY18_Q96MF7,confident,9lwj,0.06578947368421052,10,10,108
Q8IZL8_Q9BV38,confident,8fl4,0.18584070796460178,60,59,144
Q8IZL8_Q9NXF1,low,9dum,0.6296296296296297,3,6,28
Q8N612_Q9H8T0,confident,8qat,0.1111111111111111,3,4,113
Q8N668_Q9P000,confident,8p0w,0.7,12,12,42
Q8N720_Q9NVM9,low,8pk6,0.0,2,6,45
Q8N8R7_Q96T68,confident,8hfp,0.01818181818181818,2,4,77
Q8NBT2_Q9H410,confident,8ppr,0.6,8,8,38
Q8TAQ2_Q9NPI1,low,7vdv,0.40425531914893614,19,22,49
Q8TAT6_Q92890,confident,11ve,0.0,4,10,87
Q8TDN6_Q99848,confident,8fkt,0.2,53,50,163
Q8TF46_Q9NQT5,low,9g8m,0.15,92,87,22
Q8WTT2_Q9Y3T9,confident,8fkv,0.08163265306122448,56,53,178
Q8WUA4_Q9UKN8,low,8cli,0.02830188679245283,5,3,143
Q8WUB8_Q96GM5,low,7vdv,0.6818181818181818,19,22,23
Q8WUD4_Q99459,low,9s2e,0.42857142857142855,39,38,7
Q8WUD4_Q9BZJ0,confident,9fmd,0.0,53,58,43
Q8WUD4_Q9HCS7,confident,8ro2,0.061855670103092786,37,36,118
Q92643_Q969N2,confident,7w72,0.16216216216216217,5,5,156
Q92643_Q96S52,confident,7w72,0.05084745762711865,5,5,156
Q969G3_Q9NPI1,low,7vdv,0.45454545454545453,19,22,30
Q969N2_Q96S52,confident,8imx,0.41333333333333333,7,7,94
Q969R8_Q9Y664,confident,9o5a,0.04819277108433735,7,7,120
Q96CS2_Q9H6D7,confident,7sqk,0.18685121107266436,8,8,377
Q96DZ1_Q9UBV2,confident,8kes,0.0,4,8,111
Q96F24_Q99570,confident,9tz3,0.07407407407407407,5,6,73
Q96FT9_Q9P2L0,confident,8bbe,0.013888888888888888,4,4,93
Q96GM5_Q9NPI1,low,7y8r,0.4883720930232558,22,25,51
Q96HY6_Q96JB5,confident,9gy4,0.043478260869565216,55,51,23
Q96IY1_Q9HBM1,low,8ppr,0.9,8,8,13
Q96LI5_Q9UIV1,confident,7voi,0.0,3,3,45
Q96MF7_Q96SB8,low,9lwj,0.4444444444444444,10,10,21
Q96RL1_Q9NWV8,low,9smp,0.7608695652173914,9,18,57
Q96RQ3_Q9HCC0,confident,8jxm,0.1375,2,12,104
Q96S44_Q9NPF4,confident,9fl9,0.0,5,5,39
Q96S52_Q9H490,confident,8imx,0.3157894736842105,7,7,41
Q96SY0_Q9NVR2,confident,8rbx,0.0,41,43,114
Q99436_Q9Y244,confident,8yix,0.5671641791044776,17,17,95
Q99832_Q9H2J4,low,7nvm,0.7272727272727273,11,20,10
Q99871_Q9BT25,confident,7sqk,0.408,8,8,137
Q99871_Q9NVX0,confident,7sqk,0.2483221476510067,8,8,158
Q9BQ95_Q9H845,low,8phe,0.14634146341463414,2,4,55
Q9BRR8_Q9BRX9,confident,9s2f,0.0,34,34,95
Q9BS16_Q9H3R5,confident,7xho,0.31877729257641924,16,17,309
Q9BT04_Q9ULD6,confident,7q3d,0.09183673469387756,3,3,139
Q9BT25_Q9NVX0,confident,7sqk,0.5555555555555556,8,8,98
Q9BTE1_Q9UJW0,confident,9b85,0.08196721311475409,9,19,68
Q9BV38_Q9NXF1,low,8fl2,0.1111111111111111,63,61,96
Q9BW66_Q9NX04,confident,8rhn,0.11764705882352941,4,16,41
Q9BZE4_Q9UKD2,low,8idy,0.5,54,51,7
Q9GZQ3_Q9UBI1,confident,8f2u,0.8666666666666667,12,12,11
Q9H0A8_Q9UBI1,low,8f2r,0.2,10,10,5
Q9H410_Q9HBM1,low,8ppr,0.2631578947368421,8,8,20
Q9H9A5_Q9UKZ1,confident,8bfi,0.06862745098039216,3,3,270
Q9HCN4_Q9UHW5,confident,9t5j,0.1827956989247312,3,3,126
Q9NX08_Q9UBI1,confident,8f2r,0.75,10,10,20
Q9NXF1_Q9Y4W2,confident,8fl3,0.0,61,60,54
Q9NXL9_Q9UJA3,confident,8s91,0.0,2,6,150
Q9P000_Q9Y6G5,confident,8p0w,0.5555555555555556,12,12,5
Q9UBB9_Q9Y5B6,confident,8ro2,0.0,37,36,126
Q9UBI1_Q9Y6G5,confident,8f2u,0.8148148148148148,12,12,39
Q9UHR5_Q9UK58,confident,9vuh,0.02127659574468085,3,3,184
Q9UPM8_Q9Y587,confident,9u9i,0.0,4,4,113
Q9Y5Q8_Q9Y5Q9,confident,8clk,0.10967741935483871,4,4,213
