uid,org,group,a,b,entry,f1,correct,prec_id0.25,prec_id0,prec_examples
O60216_Q7Z5K2,human,low,O60216,Q7Z5K2,9ep3,0.0,False,False,False,
O60568_Q8NBJ5,human,low,Q8NBJ5,O60568,8zge,0.0571428571428571,False,False,False,
O60826_Q567U6,human,confident,O60826,Q567U6,8p0v,0.93368700265252,True,False,False,
O60826_Q7Z3J2,human,confident,O60826,Q7Z3J2,8p0x,0.4705882352941176,False,False,False,
O60826_Q7Z4G1,human,low,Q7Z4G1,O60826,8f2u,0.0,False,False,False,
O60826_Q86VX2,human,low,Q86VX2,O60826,8f2u,0.0,False,False,False,
O60826_Q86X83,human,low,O60826,Q86X83,8f2u,0.2,False,False,False,
O60826_Q8TCE6,human,confident,O60826,Q8TCE6,8p0v,0.8823529411764706,True,False,False,
O60826_Q9GZQ3,human,confident,O60826,Q9GZQ3,8p0w,0.935064935064935,True,False,False,
O60826_Q9H0A8,human,low,O60826,Q9H0A8,8f2u,0.0,False,False,False,
O60826_Q9P000,human,low,O60826,Q9P000,8p0w,0.0,False,False,False,
O60826_Q9UBI1,human,confident,Q9UBI1,O60826,8p0w,0.7142857142857143,True,False,False,
O60826_Q9Y6G5,human,low,O60826,Q9Y6G5,8p0w,0.0,False,False,False,
O60927_P62136,human,confident,P62136,O60927,8dwl,0.3956043956043956,False,False,False,
O60934_Q92878,human,confident,O60934,Q92878,9q9i,0.1030927835051546,False,False,False,
O75083_P23528,human,low,P23528,O75083,9qfq,0.0,False,False,False,
O75386_Q96RY7,human,low,O75386,Q96RY7,8fh3,0.1818181818181818,False,False,False,
O75386_Q9HBG6,human,low,Q9HBG6,O75386,8fh3,0.0,False,False,False,
O75477_O94905,human,confident,O75477,O94905,9vvj,0.916256157635468,True,False,False,
O75683_Q99848,human,low,O75683,Q99848,8fks,0.0,False,False,False,
O75718_Q32P28,human,confident,O75718,Q32P28,8k17,0.8,True,False,False,
O75947_P25705,human,low,O75947,P25705,8h9s,0.2352941176470588,False,True,True,"2WSS,4B2Q,5ARA,5ARE"
O75955_Q14254,human,confident,Q14254,O75955,9l3g,0.918918918918919,True,False,False,
O75964_P24539,human,low,P24539,O75964,8h9m,0.8108108108108109,True,True,True,"6TT7,6ZA9,6ZBB,6ZIQ"
O75964_P56385,human,confident,P56385,O75964,8h9u,0.9421487603305784,True,True,True,"6TT7,6ZA9,6ZBB,6ZIQ"
O75971_Q16533,human,confident,O75971,Q16533,7zwd,0.868421052631579,True,False,False,
O76021_P62424,human,low,O76021,P62424,8ine,0.0,False,True,True,"3JCT,4V6W,5JPQ,5OQL"
O94874_Q96HY6,human,confident,O94874,Q96HY6,8c0d,0.9433962264150944,True,False,False,
O94874_Q96JB5,human,confident,O94874,Q96JB5,8ohd,0.8794326241134752,True,False,False,
O94927_Q68CZ6,human,confident,O94927,Q68CZ6,7sqk,0.910699919549477,True,False,False,
O94927_Q9H6D7,human,confident,O94927,Q9H6D7,7sqk,0.4615384615384615,False,False,False,
O94927_Q9NVX0,human,confident,O94927,Q9NVX0,7sqk,0.0681818181818181,False,False,False,
O95163_Q9H9T3,human,confident,Q9H9T3,O95163,8ptx,0.8623853211009175,True,True,True,6QK7
O95210_Q9H0R8,human,confident,Q9H0R8,O95210,8x8a,0.8363636363636363,True,False,False,
O95229_Q96IY1,human,low,O95229,Q96IY1,8ppr,0.0,False,False,False,
O95456_P25786,human,low,P25786,O95456,8tm6,0.0618556701030927,False,False,False,
O95456_Q969U7,human,confident,Q969U7,O95456,8tm4,0.8557692307692307,True,False,False,
O95478_Q13823,human,low,O95478,Q13823,8rl2,0.0,False,True,True,"3JCT,6ELZ,6EM1,6EM5"
O95478_Q99848,human,low,O95478,Q99848,8fkx,0.0,False,True,True,"6ELZ,6EM1,6EM5,7OHR"
O95478_Q9BZE4,human,low,O95478,Q9BZE4,8fl3,0.0,False,True,True,"3JCT,6ELZ,6EM1,6EM5"
O95563_Q9Y5U8,human,confident,Q9Y5U8,O95563,9knx,0.6458333333333334,True,False,False,
O95619_Q9NPF5,human,confident,Q9NPF5,O95619,9y3d,0.9591836734693876,True,False,False,
O95707_Q6NW34,human,confident,O95707,Q6NW34,9uha,0.7333333333333333,True,False,False,
O95825_Q6ZMI0,human,low,Q6ZMI0,O95825,7nd2,0.0705882352941176,False,False,False,
O95831_Q8N4Q1,human,confident,Q8N4Q1,O95831,9gqz,0.6041666666666666,True,False,False,
P04839_Q9BQA9,human,confident,P04839,Q9BQA9,8kei,0.0952380952380952,False,False,False,
P04908_P0C0S8,human,confident,P04908,P0C0S8,9be5,0.0,False,False,False,
P06576_P18859,human,low,P06576,P18859,8ki3,0.0,False,True,True,"2WSS,4B2Q,5ARA,5ARE"
P06576_P36542,human,confident,P06576,P36542,8h9v,0.6268656716417911,True,True,True,"1BMF,1COW,1E1Q,1E1R"
P06576_P48047,human,low,P06576,P48047,8h9e,0.0,False,True,True,"2WSS,4B2Q,5ARA,5ARE"
P09417_P62942,human,confident,P62942,P09417,9dtw,0.4285714285714285,False,False,False,
P12956_Q14191,human,low,P12956,Q14191,9hzg,0.0,False,False,False,
P13725_P40189,human,confident,P40189,P13725,8v29,0.8636363636363636,True,False,False,
P13807_P46976,human,confident,P13807,P46976,8cvx,0.8627450980392157,True,False,False,
P15884_Q15672,human,confident,P15884,Q15672,8osb,0.9090909090909092,True,True,True,"2QL2,2YPA,2YPB"
P15927_P23025,human,confident,P15927,P23025,9pd4,0.6557377049180327,True,False,False,
P16383_Q9UBB9,human,confident,P16383,Q9UBB9,9s2e,0.7321428571428571,True,False,False,
P17980_Q16401,human,low,P17980,Q16401,9pro,0.0,False,False,False,
P18859_P48047,human,low,P18859,P48047,8h9u,0.0,False,True,True,"2WSS,4B2Q,5ARA,5ARE"
P19438_Q15628,human,confident,P19438,Q15628,9vin,0.0,False,False,False,
P20248_Q9BY12,human,low,Q9BY12,P20248,9hj1,0.15,False,False,False,
P20585_P40692,human,confident,P40692,P20585,9p4b,0.0,False,True,True,"5AKB,5AKC,5AKD,7AIB"
P20618_Q9Y244,human,low,Q9Y244,P20618,8yix,0.0,False,False,False,
P24539_P48047,human,confident,P24539,P48047,8ki3,0.8461538461538461,True,True,True,"2WSS,4B2Q,5ARA,5ARE"
P24539_P56385,human,low,P24539,P56385,8h9j,0.4,False,True,True,"6TT7,6ZA9,6ZBB,6ZIQ"
P25789_Q9Y244,human,low,Q9Y244,P25789,8tm5,0.0,False,False,False,
P28066_Q9Y244,human,low,Q9Y244,P28066,8yix,0.0,False,False,False,
P30049_P36542,human,confident,P36542,P30049,8h9f,0.9380530973451328,True,True,True,"1E79,1H8E,2CK3,2HLD"
P31040_Q5VUM1,human,low,Q5VUM1,P31040,8dye,0.1666666666666666,False,False,False,
P35998_Q16401,human,low,P35998,Q16401,9pro,0.054054054054054,False,False,False,
P36873_Q9UQ13,human,confident,P36873,Q9UQ13,7sd0,0.6075949367088608,True,False,False,
P40429_Q99848,human,confident,Q99848,P40429,8fkq,0.509090909090909,True,True,True,"5Z3G,6ELZ,6EM1,6EM3"
P40692_Q9Y2M0,human,low,P40692,Q9Y2M0,9woy,0.0,False,False,False,
P41743_Q6P1M3,human,low,Q6P1M3,P41743,9ejk,0.09009009009009,False,False,False,
P42695_Q6IBW4,human,confident,P42695,Q6IBW4,9f5w,0.5902777777777778,True,False,False,
P43358_Q9NS91,human,low,Q9NS91,P43358,9bd3,0.0,False,False,False,
P46087_Q8WTT2,human,low,P46087,Q8WTT2,8fkx,0.0,False,True,True,"6ELZ,6EM5,7OHR"
P49321_Q9NVP2,human,confident,P49321,Q9NVP2,7v1m,0.0476190476190476,False,True,True,7V6Q
P49366_P63241,human,low,P49366,P63241,8a0e,0.0,False,False,False,
P49368_Q9H2J4,human,low,P49368,Q9H2J4,8i6j,0.0,False,False,False,
P49720_Q9Y244,human,low,Q9Y244,P49720,8tm4,0.0,False,False,False,
P49755_Q15363,human,confident,Q15363,P49755,21gl,0.7142857142857143,True,False,False,
P49755_Q9Y3A6,human,confident,P49755,Q9Y3A6,21gm,0.2295081967213114,False,False,False,
P49903_Q2TAL8,human,low,P49903,Q2TAL8,9hjt,0.0769230769230769,False,False,False,
P49959_Q92878,human,confident,P49959,Q92878,9q9i,0.6153846153846154,True,False,True,
P50990_Q9H2J4,human,low,P50990,Q9H2J4,7nvm,0.0,False,False,False,
P50991_Q9H2J4,human,low,P50991,Q9H2J4,8i9q,0.0,False,False,False,
P55072_Q9H867,human,low,P55072,Q9H867,7oat,0.0,False,False,False,
P55735_Q6PJI9,human,confident,P55735,Q6PJI9,9oti,0.896551724137931,True,True,True,"5A9Q,6BX3,6VEN,7PEQ"
P55735_Q9NXC5,human,low,Q9NXC5,P55735,9lvj,0.0,False,False,False,
P55854_Q5W0Q7,human,low,Q5W0Q7,P55854,7zju,0.1111111111111111,False,False,False,
P56279_Q9Y6K1,human,low,P56279,Q9Y6K1,9lq1,0.1428571428571428,False,False,False,
P56524_Q02078,human,low,P56524,Q02078,7xuz,0.074074074074074,False,False,False,
P57081_Q9UBP6,human,confident,P57081,Q9UBP6,8eg0,0.9457364341085271,True,True,True,2VDU
P61163_Q14203,human,low,Q14203,P61163,9b7j,0.0,False,True,True,6ZNL
P61163_Q9NZ32,human,confident,P61163,Q9NZ32,9b7j,0.7391304347826086,True,True,False,"5ADX,5AFU,5NW4,6F1T"
P62136_Q9UQ13,human,confident,P62136,Q9UQ13,7tvf,0.4081632653061224,False,False,False,
P62195_Q16401,human,low,P62195,Q16401,9pro,0.0,False,False,False,
P62333_Q16401,human,low,P62333,Q16401,9pro,0.0,False,False,False,
P62424_Q8IY81,human,low,P62424,Q8IY81,8fks,0.0,False,True,True,"6ELZ,6EM5,6YLX,7OHR"
P62424_Q9BYG3,human,low,P62424,Q9BYG3,8fkr,0.0,False,True,True,"3JCT,5Z3G,6AH0,6AHD"
P63151_Q96E09,human,low,Q96E09,P63151,8so0,0.3888888888888889,False,False,False,
P63208_Q9UK99,human,confident,Q9UK99,P63208,9kbd,0.9251700680272108,True,False,False,
P68431_Q13111,human,low,Q13111,P68431,8iqg,0.0333333333333333,False,False,False,
P80370_Q13705,human,low,P80370,Q13705,9d20,0.0,False,False,False,
Q07817_Q96LC9,human,confident,Q96LC9,Q07817,8iqk,0.4318181818181818,False,True,True,2VOG
Q13283_Q14694,human,low,Q14694,Q13283,8th6,0.0555555555555555,False,False,False,
Q13352_Q71F23,human,low,Q13352,Q71F23,9tax,0.0,False,False,False,
Q13352_Q7L2Z9,human,low,Q13352,Q7L2Z9,9tax,0.0,False,False,False,
Q13352_Q9BU64,human,confident,Q13352,Q9BU64,9tax,0.8163265306122449,True,False,False,
Q13363_Q96JN0,human,confident,Q13363,Q96JN0,9wrj,0.7755102040816326,True,False,False,
Q13547_Q9UKL0,human,low,Q9UKL0,Q13547,8vrt,0.0,False,True,True,"4BKX,5ICN,7AO8,7AO9"
Q13561_Q14203,human,confident,Q14203,Q13561,9b7j,0.2810810810810811,False,True,True,6ZNL
Q13573_Q96DF8,human,confident,Q96DF8,Q13573,9s2e,0.8828828828828829,True,False,False,
Q13596_Q9Y5X3,human,confident,Q9Y5X3,Q13596,8afz,0.8869565217391304,True,False,False,
Q14457_Q6ZNE5,human,confident,Q14457,Q6ZNE5,9tz3,0.9377777777777778,True,False,False,
Q14457_Q96F24,human,low,Q96F24,Q14457,9rx7,0.0,False,False,False,
Q15007_Q5T200,human,low,Q5T200,Q15007,7vf2,0.0,False,False,False,
Q15024_Q8TF46,human,low,Q8TF46,Q15024,9g8m,0.6875,True,True,True,"6D6Q,6D6R,6H25"
Q15050_Q8TDN6,human,low,Q15050,Q8TDN6,8fkx,0.0,False,False,False,
Q15050_Q99848,human,confident,Q99848,Q15050,8fkv,0.6746987951807228,True,False,False,
Q15363_Q9BVK6,human,confident,Q15363,Q9BVK6,21gm,0.8,True,False,False,
Q15363_Q9Y3A6,human,confident,Q15363,Q9Y3A6,21gl,0.2040816326530612,False,False,False,
Q15506_Q96C74,human,confident,Q15506,Q96C74,8j07,0.896551724137931,True,False,False,
Q15906_Q9NPF5,human,low,Q9NPF5,Q15906,8xvg,0.0,False,False,False,
Q15906_Q9Y230,human,low,Q15906,Q9Y230,9y3e,0.0,False,False,False,
Q15906_Q9Y265,human,low,Q15906,Q9Y265,8x1c,0.0,False,False,False,
Q16533_Q5SXM2,human,low,Q16533,Q5SXM2,7zwd,0.0,False,False,False,
Q16533_Q92966,human,confident,Q16533,Q92966,9fsq,0.8365019011406845,True,False,False,
Q16777_Q16778,human,confident,Q16778,Q16777,7u0g,0.9661016949152542,True,True,True,"1AOI,1EQZ,1F66,1HIO"
Q16878_Q96CX6,human,confident,Q16878,Q96CX6,9t7v,0.8607594936708861,True,False,False,
Q53G59_Q9H4M7,human,low,Q9H4M7,Q53G59,8oio,0.0,False,False,False,
Q53G59_Q9UBV8,human,low,Q53G59,Q9UBV8,8rbh,0.0,False,False,False,
Q567U6_Q86VX2,human,low,Q86VX2,Q567U6,8p0w,0.0,False,False,False,
Q567U6_Q86X83,human,confident,Q86X83,Q567U6,8f2u,0.7529411764705882,True,False,False,
Q567U6_Q8TCE6,human,confident,Q8TCE6,Q567U6,8p0v,0.5555555555555556,True,False,False,
Q567U6_Q9UBI1,human,low,Q9UBI1,Q567U6,8p0w,0.0,False,False,False,
Q5EBL4_Q86T03,human,low,Q86T03,Q5EBL4,9qm9,0.0,False,False,False,
Q5JPE7_Q969V3,human,low,Q5JPE7,Q969V3,9c7v,0.050632911392405,False,False,False,
Q5JVF3_Q96PV6,human,confident,Q5JVF3,Q96PV6,9dlv,0.762589928057554,True,False,False,
Q5JVL4_Q969V4,human,low,Q5JVL4,Q969V4,7ung,0.0,False,True,True,7RRO
Q5SY16_Q9Y4W2,human,confident,Q5SY16,Q9Y4W2,26lk,0.8729641693811075,True,True,True,"6OF2,6OF3,6OF4"
Q5TKA1_Q96GY3,human,confident,Q96GY3,Q5TKA1,7r1d,0.8031496062992126,True,False,False,
Q5VU69_Q9Y5B8,human,confident,Q9Y5B8,Q5VU69,8j07,0.8852459016393442,True,True,True,7RRO
Q658Y4_Q9HAS0,human,confident,Q9HAS0,Q658Y4,24ip,0.9066666666666666,True,False,False,
Q68CZ6_Q96CS2,human,confident,Q68CZ6,Q96CS2,7sqk,0.6764705882352942,True,False,False,
Q6IA86_Q9H9T3,human,confident,Q9H9T3,Q6IA86,8ptx,0.7572815533980582,True,True,True,6QK7
Q6IBW4_Q86XI2,human,confident,Q6IBW4,Q86XI2,9f5w,0.6947368421052632,True,False,False,
Q6IBW4_Q9NTJ3,human,confident,Q9NTJ3,Q6IBW4,9f5w,0.0,False,False,False,
Q6IPU0_Q71F23,human,confident,Q6IPU0,Q71F23,9tax,0.8292682926829268,True,False,False,
Q6IPU0_Q7L2Z9,human,low,Q6IPU0,Q7L2Z9,7pb8,0.0,False,False,False,
Q6NZ67_Q96RT7,human,low,Q6NZ67,Q96RT7,9qvm,0.0,False,True,True,6X0V
Q6NZ67_Q9BSJ2,human,confident,Q9BSJ2,Q6NZ67,9qvm,0.9215686274509804,True,True,True,6X0V
Q6P582_Q96RT7,human,low,Q6P582,Q96RT7,8rx1,0.0,False,True,True,6X0V
Q6P9B9_Q96N11,human,confident,Q96N11,Q6P9B9,8rc4,0.8245614035087719,True,False,False,
Q6PI98_Q9Y230,human,low,Q9Y230,Q6PI98,9ge5,0.2068965517241379,False,True,True,"6FHS,6FML"
Q6PI98_Q9Y265,human,low,Q6PI98,Q9Y265,9gev,0.0,False,True,True,"6FHS,6FML"
Q6SPF0_Q96JM7,human,confident,Q96JM7,Q6SPF0,8y77,1.0,True,False,False,
Q6UWZ7_Q9NWV8,human,low,Q9NWV8,Q6UWZ7,9smp,0.0,False,True,True,"6GVW,6H3C"
Q6ZNE5_Q8NEB9,human,low,Q6ZNE5,Q8NEB9,9mhg,0.0,False,False,False,
Q71F23_Q7L2Z9,human,confident,Q7L2Z9,Q71F23,9tax,0.8,True,False,False,
Q7Z3J2_Q9UBQ0,human,confident,Q9UBQ0,Q7Z3J2,8syn,0.8738738738738738,True,False,False,
Q7Z4G1_Q8N668,human,confident,Q8N668,Q7Z4G1,8f2u,0.8900523560209425,True,False,False,
Q7Z4G1_Q9H0A8,human,confident,Q7Z4G1,Q9H0A8,8p0w,0.9473684210526316,True,False,False,
Q7Z4H7_Q9NVX0,human,confident,Q7Z4H7,Q9NVX0,7sqk,0.7705627705627706,True,False,False,
Q7Z4L5_Q96FT9,human,low,Q96FT9,Q7Z4L5,8fgw,0.0,False,False,False,
Q7Z6J9_Q8NCE0,human,confident,Q8NCE0,Q7Z6J9,8iss,0.9015151515151516,True,False,False,
Q86UE8_Q9Y294,human,confident,Q86UE8,Q9Y294,7lo0,0.2083333333333333,False,False,False,
Q86VS8_Q8N612,human,low,Q8N612,Q86VS8,8qat,0.0416666666666666,False,False,False,
Q86VS8_Q9H8T0,human,confident,Q9H8T0,Q86VS8,8qat,0.8089887640449438,True,False,False,
Q86VX2_Q9Y6G5,human,confident,Q86VX2,Q9Y6G5,8esd,0.196078431372549,False,False,False,
Q86X83_Q9H0A8,human,confident,Q86X83,Q9H0A8,8f2u,0.1651376146788991,False,False,False,
Q86X83_Q9UBI1,human,confident,Q9UBI1,Q86X83,8p0w,0.96,True,False,False,
Q86XP3_Q9BWJ5,human,low,Q86XP3,Q9BWJ5,7evn,0.1538461538461538,False,True,True,"6AH0,6QX9,6Y50,6Y5Q"
Q86XR8_Q96MT8,human,confident,Q86XR8,Q96MT8,9i7q,0.0,False,False,False,
Q86YC2_Q9UBU8,human,low,Q9UBU8,Q86YC2,7s4a,0.0,False,False,False,
Q8IW40_Q9Y230,human,confident,Q8IW40,Q9Y230,29jr,0.9230769230769232,True,False,False,
Q8IWY9_Q9Y294,human,confident,Q8IWY9,Q9Y294,9cvc,0.6631578947368421,True,False,False,
Q8IXW5_Q9UHW5,human,low,Q9UHW5,Q8IXW5,9t5j,0.0,False,False,False,
Q8IY18_Q8WV22,human,confident,Q8IY18,Q8WV22,9lwj,0.9491525423728814,True,False,False,
Q8IY18_Q96MF7,human,confident,Q8IY18,Q96MF7,9lwj,0.8,True,False,False,
Q8IZL8_Q9BV38,human,confident,Q8IZL8,Q9BV38,8fl4,0.7053140096618358,True,False,False,
Q8IZL8_Q9NXF1,human,low,Q8IZL8,Q9NXF1,9dum,0.1724137931034483,False,False,False,
Q8N612_Q9H8T0,human,confident,Q9H8T0,Q8N612,8qat,0.8409090909090909,True,False,False,
Q8N668_Q9P000,human,confident,Q9P000,Q8N668,8p0w,0.25,False,False,False,
Q8N720_Q9NVM9,human,low,Q9NVM9,Q8N720,8pk6,0.0571428571428571,False,False,False,
Q8N8R7_Q96T68,human,confident,Q8N8R7,Q96T68,8hfp,0.9272727272727272,True,False,False,
Q8TAQ2_Q9NPI1,human,low,Q9NPI1,Q8TAQ2,7vdv,0.1212121212121212,False,True,True,"6LTH,6LTJ,9A0K"
Q8TDN6_Q99848,human,confident,Q99848,Q8TDN6,8fkt,0.9407114624505928,True,True,True,"5Z1G,5Z3G,6ELZ,6EM1"
Q8TF46_Q9NQT5,human,low,Q9NQT5,Q8TF46,9g8m,0.0,False,True,True,"4IFD,5C0W,5C0X,5G06"
Q8WTT2_Q9Y3T9,human,confident,Q8WTT2,Q9Y3T9,8fkv,0.8056537102473498,True,False,False,
Q8WUA4_Q9UKN8,human,low,Q8WUA4,Q9UKN8,8cli,0.2758620689655172,False,False,False,
Q8WUB8_Q96GM5,human,low,Q8WUB8,Q96GM5,7vdv,0.0,False,True,True,"6LTH,6LTJ,9A0K"
Q8WUD4_Q99459,human,low,Q8WUD4,Q99459,9s2e,0.0,False,False,False,
Q8WUD4_Q9BZJ0,human,confident,Q8WUD4,Q9BZJ0,9fmd,0.8450704225352113,True,False,False,
Q8WUD4_Q9HCS7,human,confident,Q8WUD4,Q9HCS7,8ro2,0.7790697674418605,True,False,False,
Q92643_Q969N2,human,confident,Q92643,Q969N2,7w72,0.9166666666666666,True,False,False,
Q92643_Q96S52,human,confident,Q92643,Q96S52,7w72,0.8368200836820083,True,False,False,
Q969G3_Q9NPI1,human,low,Q9NPI1,Q969G3,7vdv,0.0,False,True,True,"6LTH,6LTJ,9A0K"
Q969N2_Q96S52,human,confident,Q969N2,Q96S52,8imx,0.868421052631579,True,False,False,
Q969R8_Q9Y664,human,confident,Q9Y664,Q969R8,9o5a,0.9316770186335404,True,False,False,
Q96CS2_Q9H6D7,human,confident,Q9H6D7,Q96CS2,7sqk,0.7705779334500875,True,False,False,
Q96DZ1_Q9UBV2,human,confident,Q96DZ1,Q9UBV2,8kes,0.84375,True,True,True,6VK3
Q96F24_Q99570,human,confident,Q96F24,Q99570,9tz3,0.82,True,False,False,
Q96FT9_Q9P2L0,human,confident,Q96FT9,Q9P2L0,8bbe,0.8242424242424242,True,False,False,
Q96GM5_Q9NPI1,human,low,Q9NPI1,Q96GM5,7y8r,0.0,False,True,True,"6LTH,6LTJ,9A0K"
Q96HY6_Q96JB5,human,confident,Q96HY6,Q96JB5,9gy4,0.5098039215686274,True,False,False,
Q96IY1_Q9HBM1,human,low,Q96IY1,Q9HBM1,8ppr,0.0,False,False,False,
Q96LI5_Q9UIV1,human,confident,Q96LI5,Q9UIV1,7voi,0.8089887640449438,True,True,True,"4B8C,7AX1"
Q96MF7_Q96SB8,human,low,Q96MF7,Q96SB8,9lwj,0.0,False,False,False,
Q96RL1_Q9NWV8,human,low,Q9NWV8,Q96RL1,9smp,0.08,False,True,True,6GVW
Q96RQ3_Q9HCC0,human,confident,Q96RQ3,Q9HCC0,8jxm,0.9375,True,True,True,"3N6R,3U9S,3U9T,6YBP"
Q96S44_Q9NPF4,human,confident,Q9NPF4,Q96S44,9fl9,0.6355140186915887,True,False,False,
Q96S52_Q9H490,human,confident,Q9H490,Q96S52,8imx,0.8695652173913043,True,False,False,
Q96SY0_Q9NVR2,human,confident,Q9NVR2,Q96SY0,8rbx,0.5663716814159292,True,False,False,
Q99436_Q9Y244,human,confident,Q9Y244,Q99436,8yix,0.8296296296296296,True,False,False,
Q99832_Q9H2J4,human,low,Q99832,Q9H2J4,7nvm,0.0,False,False,False,
Q9BQ95_Q9H845,human,low,Q9H845,Q9BQ95,8phe,0.0,False,False,False,
Q9BRR8_Q9BRX9,human,confident,Q9BRR8,Q9BRX9,9s2f,0.916030534351145,True,False,False,
Q9BS16_Q9H3R5,human,confident,Q9BS16,Q9H3R5,7xho,0.8957871396895787,True,False,False,
Q9BT04_Q9ULD6,human,confident,Q9ULD6,Q9BT04,7q3d,0.8426395939086294,True,False,False,
Q9BT25_Q9NVX0,human,confident,Q9NVX0,Q9BT25,7sqk,0.6289308176100629,True,False,False,
Q9BTE1_Q9UJW0,human,confident,Q9UJW0,Q9BTE1,9b85,0.8372093023255814,True,True,True,"6ZNL,6ZNM,6ZNN,6ZNO"
Q9BV38_Q9NXF1,human,low,Q9NXF1,Q9BV38,8fl2,0.0,False,False,False,
Q9BZE4_Q9UKD2,human,low,Q9BZE4,Q9UKD2,8idy,0.0,False,True,True,"3JCT,4V7F,5JCS,6ELZ"
Q9GZQ3_Q9UBI1,human,confident,Q9UBI1,Q9GZQ3,8f2u,0.2272727272727272,False,False,False,
Q9H0A8_Q9UBI1,human,low,Q9UBI1,Q9H0A8,8f2r,0.0,False,False,False,
Q9H410_Q9HBM1,human,low,Q9HBM1,Q9H410,8ppr,0.0,False,False,False,
Q9H9A5_Q9UKZ1,human,confident,Q9H9A5,Q9UKZ1,8bfi,0.8457943925233645,True,False,False,
Q9HCN4_Q9UHW5,human,confident,Q9HCN4,Q9UHW5,9t5j,0.7835051546391752,True,False,False,
Q9NX08_Q9UBI1,human,confident,Q9UBI1,Q9NX08,8f2r,0.1654135338345864,False,False,False,
Q9NXF1_Q9Y4W2,human,confident,Q9NXF1,Q9Y4W2,8fl3,0.9047619047619048,True,False,False,
Q9NXL9_Q9UJA3,human,confident,Q9UJA3,Q9NXL9,8s91,0.028673835125448,False,False,False,
Q9P000_Q9Y6G5,human,confident,Q9P000,Q9Y6G5,8p0w,0.0491803278688524,False,False,False,
Q9UBB9_Q9Y5B6,human,confident,Q9UBB9,Q9Y5B6,8ro2,0.8796296296296297,True,False,False,
Q9UBI1_Q9Y6G5,human,confident,Q9UBI1,Q9Y6G5,8f2u,0.9056603773584906,True,False,False,
Q9UHR5_Q9UK58,human,confident,Q9UHR5,Q9UK58,9vuh,0.9485294117647058,True,False,False,
Q9UPM8_Q9Y587,human,confident,Q9Y587,Q9UPM8,9u9i,0.69,True,True,True,"1W63,4HMY,4P6Z,6CM9"
Q9Y5Q8_Q9Y5Q9,human,confident,Q9Y5Q8,Q9Y5Q9,8clk,0.8852459016393442,True,False,True,
ma-bak-cepc-0066,yeast,confident,P05756,P42846,9g25,0.863013698630137,True,False,False,
ma-bak-cepc-0067,yeast,confident,P06104,Q07457,7uvc,0.8627450980392157,True,False,False,
ma-bak-cepc-0101,yeast,confident,P0CX36,P0CX38,7zw0,0.9230769230769232,True,True,True,"3J6X,3J6Y,3J77,3J78"
ma-bak-cepc-0111,yeast,confident,P10363,P20457,8b9c,0.9873417721518988,True,True,True,"4BPU,4BPW,4BPX,4RR2"
ma-bak-cepc-0135,yeast,confident,P14724,P09798,8a61,0.8888888888888888,True,False,False,
ma-bak-cepc-0143,yeast,confident,P15731,P54860,9kht,0.8641975308641975,True,True,True,3L1Z
ma-bak-cepc-0173,yeast,confident,P20457,P38121,8fod,0.1379310344827586,False,True,True,"5EXR,7OPL"
ma-bak-cepc-0182,yeast,confident,P21801,P33421,9qdm,0.912,True,True,True,"1YQ3,1YQ4,1ZOY,1ZP0"
