uid,group,f1,status,entry,n_pred,n_exp,method,res,deposit,insilico,correct,pre_multimer,hires
O60826_Q7Z3J2,confident,0.4705882352941176,ok,8p0x,36.0,15.0,ELECTRON MICROSCOPY,7.5,2023-05-11,True,False,False,False
O60826_Q7Z4G1,low,0.0,ok,8f2u,5.0,35.0,ELECTRON MICROSCOPY,3.53,2022-11-08,False,False,False,False
O60826_Q86VX2,low,0.0,ok,8f2u,6.0,22.0,ELECTRON MICROSCOPY,3.53,2022-11-08,False,False,False,False
O60826_Q86X83,low,0.2,ok,8f2u,4.0,26.0,ELECTRON MICROSCOPY,3.53,2022-11-08,False,False,False,False
O60826_Q8TCE6,confident,0.8823529411764706,ok,8p0v,33.0,35.0,ELECTRON MICROSCOPY,6.5,2023-05-10,True,True,False,False
O60826_Q9GZQ3,confident,0.935064935064935,ok,8p0w,37.0,40.0,ELECTRON MICROSCOPY,2.9,2023-05-11,True,True,False,True
O60826_Q9H0A8,low,0.0,ok,8f2u,0.0,19.0,ELECTRON MICROSCOPY,3.53,2022-11-08,False,False,False,False
O60826_Q9P000,low,0.0,ok,8p0w,0.0,10.0,ELECTRON MICROSCOPY,2.9,2023-05-11,True,False,False,True
O60826_Q9UBI1,confident,0.7142857142857143,ok,8p0w,66.0,102.0,ELECTRON MICROSCOPY,2.9,2023-05-11,True,True,False,True
O60826_Q9Y6G5,low,0.0,ok,8p0w,0.0,17.0,ELECTRON MICROSCOPY,2.9,2023-05-11,True,False,False,True
O60927_P62136,confident,0.3956043956043956,ok,8dwl,20.0,71.0,X-RAY DIFFRACTION,2.0,2022-08-01,False,False,False,True
O60934_Q92878,confident,0.1030927835051546,ok,9q9i,65.0,32.0,ELECTRON MICROSCOPY,2.79,2025-02-26,True,False,False,True
O75083_P23528,low,0.0,ok,9qfq,0.0,33.0,ELECTRON MICROSCOPY,2.76,2025-03-12,True,False,False,True
O75386_Q96RY7,low,0.1818181818181818,ok,8fh3,13.0,20.0,ELECTRON MICROSCOPY,4.3,2022-12-13,False,False,False,False
O75386_Q9HBG6,low,0.0,ok,8fh3,25.0,46.0,ELECTRON MICROSCOPY,4.3,2022-12-13,False,False,False,False
O75477_O94905,confident,0.916256157635468,ok,9vvj,194.0,212.0,ELECTRON MICROSCOPY,2.6,2025-07-15,False,True,False,True
O75683_Q99848,low,0.0,ok,8fks,0.0,13.0,ELECTRON MICROSCOPY,2.88,2022-12-21,False,False,False,True
O75718_Q32P28,confident,0.8,ok,8k17,119.0,141.0,ELECTRON MICROSCOPY,3.18,2023-07-10,False,True,False,False
O75947_P25705,low,0.2352941176470588,ok,8h9s,5.0,12.0,ELECTRON MICROSCOPY,2.53,2022-10-25,False,False,False,True
O75955_Q14254,confident,0.918918918918919,ok,9l3g,356.0,384.0,ELECTRON MICROSCOPY,3.58,2024-12-18,False,True,False,False
O75964_P24539,low,0.8108108108108109,ok,8h9m,32.0,42.0,ELECTRON MICROSCOPY,3.0,2022-10-25,False,True,False,True
O75964_P56385,confident,0.9421487603305784,ok,8h9u,59.0,62.0,ELECTRON MICROSCOPY,2.61,2022-10-25,False,True,False,True
O75971_Q16533,confident,0.868421052631579,ok,7zwd,39.0,37.0,ELECTRON MICROSCOPY,3.0,2022-05-19,False,True,False,True
O76021_P62424,low,0.0,ok,8ine,0.0,14.0,ELECTRON MICROSCOPY,3.2,2023-03-09,False,False,False,False
O94874_Q96HY6,confident,0.9433962264150944,ok,8c0d,52.0,54.0,X-RAY DIFFRACTION,2.564,2022-12-16,True,True,False,True
O94874_Q96JB5,confident,0.8794326241134752,ok,8ohd,67.0,74.0,ELECTRON MICROSCOPY,3.1,2023-03-21,False,True,False,False
O94927_Q68CZ6,confident,0.910699919549477,ok,7sqk,621.0,622.0,ELECTRON MICROSCOPY,8.0,2021-11-05,False,True,False,False
O94927_Q9H6D7,confident,0.4615384615384615,ok,7sqk,119.0,102.0,ELECTRON MICROSCOPY,8.0,2021-11-05,False,False,False,False
O94927_Q9NVX0,confident,0.0681818181818181,ok,7sqk,66.0,22.0,ELECTRON MICROSCOPY,8.0,2021-11-05,False,False,False,False
O95163_Q9H9T3,confident,0.8623853211009175,ok,8ptx,120.0,98.0,ELECTRON MICROSCOPY,2.87,2023-07-16,True,True,False,True
O95210_Q9H0R8,confident,0.8363636363636363,ok,8x8a,29.0,26.0,X-RAY DIFFRACTION,1.53,2023-11-27,False,True,False,True
O95229_Q96IY1,low,0.0,ok,8ppr,0.0,5.0,ELECTRON MICROSCOPY,3.0,2023-07-08,False,False,False,True
O95456_P25786,low,0.0618556701030927,ok,8tm6,42.0,55.0,ELECTRON MICROSCOPY,2.8,2023-07-28,False,False,False,True
O95456_Q969U7,confident,0.8557692307692307,ok,8tm4,96.0,112.0,ELECTRON MICROSCOPY,3.0,2023-07-28,False,True,False,True
O95478_Q13823,low,0.0,ok,8rl2,0.0,113.0,ELECTRON MICROSCOPY,2.84,2024-01-02,False,False,False,True
O95478_Q99848,low,0.0,ok,8fkx,0.0,20.0,ELECTRON MICROSCOPY,2.59,2022-12-21,False,False,False,True
O95478_Q9BZE4,low,0.0,ok,8fl3,2.0,43.0,ELECTRON MICROSCOPY,2.53,2022-12-21,False,False,False,True
O95563_Q9Y5U8,confident,0.6458333333333334,ok,9knx,33.0,63.0,ELECTRON MICROSCOPY,3.72,2024-11-19,False,True,False,False
O95619_Q9NPF5,confident,0.9591836734693876,ok,9y3d,97.0,99.0,ELECTRON MICROSCOPY,7.1,2025-09-02,False,True,False,False
O95707_Q6NW34,confident,0.7333333333333333,ok,9uha,47.0,43.0,ELECTRON MICROSCOPY,3.93,2025-04-14,False,True,False,False
O95825_Q6ZMI0,low,0.0705882352941176,ok,7nd2,29.0,56.0,ELECTRON MICROSCOPY,4.0,2021-01-29,True,False,True,False
O95831_Q8N4Q1,confident,0.6041666666666666,ok,9gqz,64.0,32.0,ELECTRON MICROSCOPY,2.36,2024-09-10,False,True,False,True
P04839_Q9BQA9,confident,0.0952380952380952,ok,8kei,9.0,96.0,ELECTRON MICROSCOPY,3.56,2023-08-11,False,False,False,False
P04908_P0C0S8,confident,0.0,ok,9be5,4.0,8.0,ELECTRON MICROSCOPY,3.3,2024-04-14,False,False,False,False
P06576_P18859,low,0.0,ok,8ki3,3.0,10.0,ELECTRON MICROSCOPY,2.89,2023-08-22,False,False,False,True
P06576_P36542,confident,0.6268656716417911,ok,8h9v,36.0,31.0,ELECTRON MICROSCOPY,3.02,2022-10-25,False,True,False,False
P06576_P48047,low,0.0,ok,8h9e,0.0,8.0,ELECTRON MICROSCOPY,2.53,2022-10-25,False,False,False,True
P09417_P62942,confident,0.4285714285714285,ok,9dtw,12.0,16.0,X-RAY DIFFRACTION,1.39,2024-10-02,False,False,False,True
P12956_Q14191,low,0.0,ok,9hzg,33.0,11.0,ELECTRON MICROSCOPY,3.33,2025-01-13,False,False,False,False
P13725_P40189,confident,0.8636363636363636,ok,8v29,44.0,44.0,ELECTRON MICROSCOPY,3.99,2023-11-22,False,True,False,False
P13807_P46976,confident,0.8627450980392157,ok,8cvx,49.0,53.0,ELECTRON MICROSCOPY,3.5,2022-05-18,False,True,False,False
P15884_Q15672,confident,0.9090909090909092,ok,8osb,52.0,47.0,X-RAY DIFFRACTION,2.9,2023-04-18,False,True,False,True
P15927_P23025,confident,0.6557377049180327,ok,9pd4,24.0,37.0,ELECTRON MICROSCOPY,3.4,2025-06-30,False,True,False,False
P16383_Q9UBB9,confident,0.7321428571428571,ok,9s2e,119.0,105.0,ELECTRON MICROSCOPY,2.4,2025-07-21,False,True,False,True
P17980_Q16401,low,0.0,ok,9pro,0.0,25.0,ELECTRON MICROSCOPY,4.07,2025-07-24,True,False,False,False
P18859_P48047,low,0.0,ok,8h9u,0.0,9.0,ELECTRON MICROSCOPY,2.61,2022-10-25,False,False,False,True
P19438_Q15628,confident,0.0,ok,9vin,21.0,17.0,ELECTRON MICROSCOPY,3.41,2025-06-18,False,False,False,False
P20248_Q9BY12,low,0.15,ok,9hj1,11.0,29.0,ELECTRON MICROSCOPY,2.9,2024-11-27,True,False,False,True
P20585_P40692,confident,0.0,ok,9p4b,0.0,16.0,X-RAY DIFFRACTION,2.44,2025-06-16,False,False,False,True
P20618_Q9Y244,low,0.0,ok,8yix,0.0,18.0,ELECTRON MICROSCOPY,2.91,2024-02-29,False,False,False,True
P24539_P48047,confident,0.8461538461538461,ok,8ki3,40.0,38.0,ELECTRON MICROSCOPY,2.89,2023-08-22,False,True,False,True
P24539_P56385,low,0.4,ok,8h9j,6.0,14.0,ELECTRON MICROSCOPY,3.26,2022-10-25,False,False,False,False
P25789_Q9Y244,low,0.0,ok,8tm5,0.0,26.0,ELECTRON MICROSCOPY,3.0,2023-07-28,False,False,False,True
P28066_Q9Y244,low,0.0,ok,8yix,0.0,11.0,ELECTRON MICROSCOPY,2.91,2024-02-29,False,False,False,True
P30049_P36542,confident,0.9380530973451328,ok,8h9f,56.0,57.0,ELECTRON MICROSCOPY,2.69,2022-10-25,False,True,False,True
P31040_Q5VUM1,low,0.1666666666666666,ok,8dye,10.0,74.0,X-RAY DIFFRACTION,1.44,2022-08-04,False,False,False,True
P35998_Q16401,low,0.054054054054054,ok,9pro,2.0,35.0,ELECTRON MICROSCOPY,4.07,2025-07-24,True,False,False,False
P36873_Q9UQ13,confident,0.6075949367088608,ok,7sd0,32.0,47.0,ELECTRON MICROSCOPY,2.95,2021-09-29,False,True,True,True
P40429_Q99848,confident,0.509090909090909,ok,8fkq,39.0,16.0,ELECTRON MICROSCOPY,2.76,2022-12-21,False,True,False,True
P40692_Q9Y2M0,low,0.0,ok,9woy,0.0,41.0,X-RAY DIFFRACTION,2.28,2025-09-07,False,False,False,True
P41743_Q6P1M3,low,0.09009009009009,ok,9ejk,13.0,98.0,ELECTRON MICROSCOPY,3.08,2024-11-28,False,False,False,False
P42695_Q6IBW4,confident,0.5902777777777778,ok,9f5w,168.0,120.0,ELECTRON MICROSCOPY,7.5,2024-04-30,True,True,False,False
P43358_Q9NS91,low,0.0,ok,9bd3,1.0,42.0,X-RAY DIFFRACTION,2.58,2024-04-10,False,False,False,True
P46087_Q8WTT2,low,0.0,ok,8fkx,13.0,20.0,ELECTRON MICROSCOPY,2.59,2022-12-21,False,False,False,True
P49321_Q9NVP2,confident,0.0476190476190476,ok,7v1m,34.0,8.0,X-RAY DIFFRACTION,2.834,2021-08-04,False,False,True,True
P49366_P63241,low,0.0,ok,8a0e,0.0,23.0,ELECTRON MICROSCOPY,2.8,2022-05-27,False,False,False,True
P49368_Q9H2J4,low,0.0,ok,8i6j,0.0,42.0,ELECTRON MICROSCOPY,3.82,2023-01-28,False,False,False,False
P49720_Q9Y244,low,0.0,ok,8tm4,0.0,19.0,ELECTRON MICROSCOPY,3.0,2023-07-28,False,False,False,True
P49755_Q15363,confident,0.7142857142857143,ok,21gl,62.0,92.0,ELECTRON MICROSCOPY,3.25,2025-12-11,False,True,False,False
P49755_Q9Y3A6,confident,0.2295081967213114,ok,21gm,60.0,62.0,ELECTRON MICROSCOPY,3.2,2025-12-11,False,False,False,False
P49903_Q2TAL8,low,0.0769230769230769,ok,9hjt,5.0,73.0,ELECTRON MICROSCOPY,3.26,2024-12-02,True,False,False,False
P49959_Q92878,confident,0.6153846153846154,ok,9q9i,78.0,130.0,ELECTRON MICROSCOPY,2.79,2025-02-26,True,True,False,True
P50990_Q9H2J4,low,0.0,ok,7nvm,0.0,13.0,ELECTRON MICROSCOPY,3.1,2021-03-15,False,False,True,False
P50991_Q9H2J4,low,0.0,ok,8i9q,6.0,16.0,ELECTRON MICROSCOPY,4.22,2023-02-07,False,False,False,False
P55072_Q9H867,low,0.0,ok,7oat,0.0,58.0,X-RAY DIFFRACTION,2.995,2021-04-20,False,False,True,True
P55735_Q6PJI9,confident,0.896551724137931,ok,9oti,135.0,126.0,ELECTRON MICROSCOPY,3.5,2025-05-27,False,True,False,False
P55735_Q9NXC5,low,0.0,ok,9lvj,1.0,18.0,ELECTRON MICROSCOPY,3.82,2025-02-12,False,False,False,False
P55854_Q5W0Q7,low,0.1111111111111111,ok,7zju,3.0,51.0,X-RAY DIFFRACTION,2.17,2022-04-12,False,False,False,True
P56279_Q9Y6K1,low,0.1428571428571428,ok,9lq1,6.0,36.0,ELECTRON MICROSCOPY,3.36,2025-01-27,False,False,False,False
P56524_Q02078,low,0.074074074074074,ok,7xuz,3.0,24.0,X-RAY DIFFRACTION,3.591,2022-05-20,False,False,False,False
P57081_Q9UBP6,confident,0.9457364341085271,ok,8eg0,63.0,66.0,ELECTRON MICROSCOPY,3.53,2022-09-10,False,True,False,False
P61163_Q14203,low,0.0,ok,9b7j,1.0,33.0,ELECTRON MICROSCOPY,3.49,2024-03-27,False,False,False,False
P61163_Q9NZ32,confident,0.7391304347826086,ok,9b7j,45.0,47.0,ELECTRON MICROSCOPY,3.49,2024-03-27,False,True,False,False
P62136_Q9UQ13,confident,0.4081632653061224,ok,7tvf,36.0,62.0,X-RAY DIFFRACTION,2.17,2022-02-04,False,False,False,True
P62195_Q16401,low,0.0,ok,9pro,2.0,21.0,ELECTRON MICROSCOPY,4.07,2025-07-24,True,False,False,False
P62333_Q16401,low,0.0,ok,9pro,0.0,14.0,ELECTRON MICROSCOPY,4.07,2025-07-24,True,False,False,False
P62424_Q8IY81,low,0.0,ok,8fks,0.0,12.0,ELECTRON MICROSCOPY,2.88,2022-12-21,False,False,False,True
P62424_Q9BYG3,low,0.0,ok,8fkr,0.0,21.0,ELECTRON MICROSCOPY,2.89,2022-12-21,False,False,False,True
P63151_Q96E09,low,0.3888888888888889,ok,8so0,9.0,27.0,ELECTRON MICROSCOPY,2.79961,2023-04-28,True,False,False,True
P63208_Q9UK99,confident,0.9251700680272108,ok,9kbd,72.0,75.0,ELECTRON MICROSCOPY,3.7,2024-10-30,False,True,False,False
P68431_Q13111,low,0.0333333333333333,ok,8iqg,7.0,53.0,ELECTRON MICROSCOPY,3.5,2023-03-16,False,False,False,False
P80370_Q13705,low,0.0,ok,9d20,0.0,37.0,X-RAY DIFFRACTION,2.673,2024-08-08,False,False,False,True
Q07817_Q96LC9,confident,0.4318181818181818,ok,8iqk,43.0,45.0,X-RAY DIFFRACTION,2.879,2023-03-16,False,False,False,True
Q13283_Q14694,low,0.0555555555555555,ok,8th6,2.0,34.0,X-RAY DIFFRACTION,2.34,2023-07-14,False,False,False,True
Q13352_Q71F23,low,0.0,ok,9tax,0.0,47.0,ELECTRON MICROSCOPY,4.5,2025-11-18,False,False,False,False
Q13352_Q7L2Z9,low,0.0,ok,9tax,9.0,53.0,ELECTRON MICROSCOPY,4.5,2025-11-18,False,False,False,False
Q13352_Q9BU64,confident,0.8163265306122449,ok,9tax,29.0,20.0,ELECTRON MICROSCOPY,4.5,2025-11-18,False,True,False,False
Q13363_Q96JN0,confident,0.7755102040816326,ok,9wrj,26.0,23.0,X-RAY DIFFRACTION,2.2,2025-09-12,False,True,False,True
Q13547_Q9UKL0,low,0.0,ok,8vrt,1.0,108.0,ELECTRON MICROSCOPY,3.42,2024-01-22,False,False,False,False
Q13561_Q14203,confident,0.2810810810810811,ok,9b7j,68.0,117.0,ELECTRON MICROSCOPY,3.49,2024-03-27,False,False,False,False
Q13573_Q96DF8,confident,0.8828828828828829,ok,9s2e,58.0,53.0,ELECTRON MICROSCOPY,2.4,2025-07-21,False,True,False,True
Q13596_Q9Y5X3,confident,0.8869565217391304,ok,8afz,112.0,118.0,ELECTRON MICROSCOPY,10.0,2022-07-18,False,True,False,False
Q14457_Q6ZNE5,confident,0.9377777777777778,ok,9tz3,231.0,219.0,ELECTRON MICROSCOPY,3.66,2026-01-22,True,True,False,False
Q14457_Q96F24,low,0.0,ok,9rx7,0.0,19.0,ELECTRON MICROSCOPY,3.33,2025-07-10,False,False,False,False
Q15007_Q5T200,low,0.0,ok,7vf2,7.0,12.0,ELECTRON MICROSCOPY,3.0,2021-09-10,False,False,True,True
Q15024_Q8TF46,low,0.6875,ok,9g8m,32.0,32.0,ELECTRON MICROSCOPY,3.3,2024-07-23,False,True,False,False
Q15050_Q8TDN6,low,0.0,ok,8fkx,0.0,29.0,ELECTRON MICROSCOPY,2.59,2022-12-21,False,False,False,True
Q15050_Q99848,confident,0.6746987951807228,ok,8fkv,33.0,50.0,ELECTRON MICROSCOPY,2.47,2022-12-21,False,True,False,True
Q15363_Q9BVK6,confident,0.8,ok,21gm,49.0,66.0,ELECTRON MICROSCOPY,3.2,2025-12-11,False,True,False,False
Q15363_Q9Y3A6,confident,0.2040816326530612,ok,21gl,17.0,32.0,ELECTRON MICROSCOPY,3.25,2025-12-11,False,False,False,False
Q15506_Q96C74,confident,0.896551724137931,ok,8j07,47.0,40.0,ELECTRON MICROSCOPY,4.1,2023-04-09,False,True,False,False
Q15906_Q9NPF5,low,0.0,ok,8xvg,0.0,30.0,ELECTRON MICROSCOPY,9.4,2024-01-15,False,False,False,False
Q15906_Q9Y230,low,0.0,ok,9y3e,0.0,46.0,ELECTRON MICROSCOPY,5.0,2025-09-02,False,False,False,False
Q15906_Q9Y265,low,0.0,ok,8x1c,0.0,65.0,ELECTRON MICROSCOPY,3.2,2023-11-06,False,False,False,False
Q16533_Q5SXM2,low,0.0,ok,7zwd,0.0,30.0,ELECTRON MICROSCOPY,3.0,2022-05-19,False,False,False,True
Q16533_Q92966,confident,0.8365019011406845,ok,9fsq,133.0,130.0,ELECTRON MICROSCOPY,3.51,2024-06-21,False,True,False,False
Q16777_Q16778,confident,0.9661016949152542,ok,7u0g,117.0,119.0,ELECTRON MICROSCOPY,2.6,2022-02-18,False,True,False,True
Q16878_Q96CX6,confident,0.8607594936708861,ok,9t7v,40.0,39.0,ELECTRON MICROSCOPY,2.95,2025-11-12,False,True,False,True
Q53G59_Q9H4M7,low,0.0,ok,8oio,1.0,20.0,X-RAY DIFFRACTION,1.954,2023-03-23,False,False,False,True
Q53G59_Q9UBV8,low,0.0,ok,8rbh,0.0,31.0,X-RAY DIFFRACTION,1.88,2023-12-04,False,False,False,True
Q567U6_Q86VX2,low,0.0,ok,8p0w,0.0,23.0,ELECTRON MICROSCOPY,2.9,2023-05-11,True,False,False,True
Q567U6_Q86X83,confident,0.7529411764705882,ok,8f2u,39.0,46.0,ELECTRON MICROSCOPY,3.53,2022-11-08,False,True,False,False
Q567U6_Q8TCE6,confident,0.5555555555555556,ok,8p0v,10.0,26.0,ELECTRON MICROSCOPY,6.5,2023-05-10,True,True,False,False
Q567U6_Q9UBI1,low,0.0,ok,8p0w,0.0,14.0,ELECTRON MICROSCOPY,2.9,2023-05-11,True,False,False,True
Q5EBL4_Q86T03,low,0.0,ok,9qm9,0.0,33.0,X-RAY DIFFRACTION,1.55,2025-03-22,False,False,False,True
Q5JPE7_Q969V3,low,0.050632911392405,ok,9c7v,7.0,72.0,ELECTRON MICROSCOPY,6.6,2024-06-11,False,False,False,False
Q5JVF3_Q96PV6,confident,0.762589928057554,ok,9dlv,81.0,58.0,ELECTRON MICROSCOPY,2.97,2024-09-11,False,True,False,True
Q5JVL4_Q969V4,low,0.0,ok,7ung,0.0,13.0,ELECTRON MICROSCOPY,3.6,2022-04-11,False,False,False,False
Q5SY16_Q9Y4W2,confident,0.8729641693811075,ok,26lk,161.0,146.0,ELECTRON MICROSCOPY,3.4,2026-05-06,False,True,False,False
Q5TKA1_Q96GY3,confident,0.8031496062992126,ok,7r1d,71.0,56.0,ELECTRON MICROSCOPY,3.5,2022-02-02,False,True,False,False
Q5VU69_Q9Y5B8,confident,0.8852459016393442,ok,8j07,34.0,27.0,ELECTRON MICROSCOPY,4.1,2023-04-09,False,True,False,False
Q658Y4_Q9HAS0,confident,0.9066666666666666,ok,24ip,38.0,37.0,ELECTRON MICROSCOPY,3.07,2026-03-04,False,True,False,False
Q68CZ6_Q96CS2,confident,0.6764705882352942,ok,7sqk,23.0,45.0,ELECTRON MICROSCOPY,8.0,2021-11-05,False,True,False,False
Q6IA86_Q9H9T3,confident,0.7572815533980582,ok,8ptx,61.0,42.0,ELECTRON MICROSCOPY,2.87,2023-07-16,True,True,False,True
Q6IBW4_Q86XI2,confident,0.6947368421052632,ok,9f5w,122.0,68.0,ELECTRON MICROSCOPY,7.5,2024-04-30,True,True,False,False
Q6IBW4_Q9NTJ3,confident,0.0,ok,9f5w,33.0,66.0,ELECTRON MICROSCOPY,7.5,2024-04-30,True,False,False,False
Q6IPU0_Q71F23,confident,0.8292682926829268,ok,9tax,82.0,82.0,ELECTRON MICROSCOPY,4.5,2025-11-18,False,True,False,False
Q6IPU0_Q7L2Z9,low,0.0,ok,7pb8,0.0,63.0,X-RAY DIFFRACTION,3.68,2021-07-31,False,False,True,False
Q6NZ67_Q96RT7,low,0.0,ok,9qvm,2.0,12.0,ELECTRON MICROSCOPY,6.8,2025-04-11,True,False,False,False
Q6NZ67_Q9BSJ2,confident,0.9215686274509804,ok,9qvm,103.0,101.0,ELECTRON MICROSCOPY,6.8,2025-04-11,True,True,False,False
Q6P582_Q96RT7,low,0.0,ok,8rx1,1.0,5.0,ELECTRON MICROSCOPY,3.57,2024-02-06,False,False,False,False
Q6P9B9_Q96N11,confident,0.8245614035087719,ok,8rc4,48.0,66.0,ELECTRON MICROSCOPY,3.1,2023-12-06,False,True,False,False
Q6PI98_Q9Y230,low,0.2068965517241379,ok,9ge5,6.0,23.0,ELECTRON MICROSCOPY,3.35,2024-08-07,False,False,False,False
Q6PI98_Q9Y265,low,0.0,ok,9gev,1.0,12.0,ELECTRON MICROSCOPY,3.47,2024-08-07,False,False,False,False
Q6SPF0_Q96JM7,confident,1.0,ok,8y77,21.0,21.0,X-RAY DIFFRACTION,1.5,2024-02-04,False,True,False,True
Q6UWZ7_Q9NWV8,low,0.0,ok,9smp,0.0,17.0,ELECTRON MICROSCOPY,3.0,2025-09-08,False,False,False,True
Q6ZNE5_Q8NEB9,low,0.0,ok,9mhg,2.0,14.0,ELECTRON MICROSCOPY,3.2,2024-12-11,True,False,False,False
Q71F23_Q7L2Z9,confident,0.8,ok,9tax,138.0,172.0,ELECTRON MICROSCOPY,4.5,2025-11-18,False,True,False,False
Q7Z3J2_Q9UBQ0,confident,0.8738738738738738,ok,8syn,110.0,112.0,ELECTRON MICROSCOPY,2.94,2023-05-25,True,True,False,True
Q7Z4G1_Q8N668,confident,0.8900523560209425,ok,8f2u,99.0,92.0,ELECTRON MICROSCOPY,3.53,2022-11-08,False,True,False,False
Q7Z4G1_Q9H0A8,confident,0.9473684210526316,ok,8p0w,28.0,29.0,ELECTRON MICROSCOPY,2.9,2023-05-11,True,True,False,True
Q7Z4H7_Q9NVX0,confident,0.7705627705627706,ok,7sqk,115.0,116.0,ELECTRON MICROSCOPY,8.0,2021-11-05,False,True,False,False
Q7Z4L5_Q96FT9,low,0.0,ok,8fgw,12.0,43.0,ELECTRON MICROSCOPY,3.7,2022-12-12,False,False,False,False
Q7Z6J9_Q8NCE0,confident,0.9015151515151516,ok,8iss,135.0,129.0,ELECTRON MICROSCOPY,3.19,2023-03-21,True,True,False,False
Q86UE8_Q9Y294,confident,0.2083333333333333,ok,7lo0,26.0,22.0,X-RAY DIFFRACTION,2.71,2021-02-08,False,False,True,True
Q86VS8_Q8N612,low,0.0416666666666666,ok,8qat,5.0,43.0,ELECTRON MICROSCOPY,3.2,2023-08-23,True,False,False,False
Q86VS8_Q9H8T0,confident,0.8089887640449438,ok,8qat,46.0,43.0,ELECTRON MICROSCOPY,3.2,2023-08-23,True,True,False,False
Q86VX2_Q9Y6G5,confident,0.196078431372549,ok,8esd,81.0,21.0,X-RAY DIFFRACTION,3.33,2022-10-13,False,False,False,False
Q86X83_Q9H0A8,confident,0.1651376146788991,ok,8f2u,90.0,19.0,ELECTRON MICROSCOPY,3.53,2022-11-08,False,False,False,False
Q86X83_Q9UBI1,confident,0.96,ok,8p0w,114.0,111.0,ELECTRON MICROSCOPY,2.9,2023-05-11,True,True,False,True
Q86XP3_Q9BWJ5,low,0.1538461538461538,ok,7evn,1.0,12.0,ELECTRON MICROSCOPY,2.6,2021-05-21,False,False,True,True
Q86XR8_Q96MT8,confident,0.0,ok,9i7q,4.0,24.0,X-RAY DIFFRACTION,2.9,2025-01-31,True,False,False,True
Q86YC2_Q9UBU8,low,0.0,ok,7s4a,1.0,47.0,X-RAY DIFFRACTION,2.693,2021-09-08,False,False,True,True
Q8IW40_Q9Y230,confident,0.9230769230769232,ok,29jr,25.0,27.0,ELECTRON MICROSCOPY,3.47,2026-03-17,True,True,False,False
Q8IWY9_Q9Y294,confident,0.6631578947368421,ok,9cvc,79.0,111.0,ELECTRON MICROSCOPY,3.5,2024-07-29,False,True,False,False
Q8IXW5_Q9UHW5,low,0.0,ok,9t5j,0.0,38.0,ELECTRON MICROSCOPY,2.8,2025-11-05,True,False,False,True
