g1,g2,id1,id2,r,pDockQ,mean1,mean2,ndep1,ndep2,both_sel,paness
MRPL2,MRPL47,Q5T653,Q9HD33,0.5681213140487671,0.03274337,-0.272825688123703,-0.3441239297389984,81,142,True,False
WASHC5,WASHC3,Q12768,Q9Y3C0,0.5617115497589111,0.03835816,-0.224761500954628,-0.213297039270401,33,50,True,False
MRPL47,MRPL40,Q9HD33,Q9NQ50,0.5607425570487976,0.03397237,-0.3441239297389984,-0.30426573753356934,142,106,True,False
GADD45GIP1,MRPL19,Q8TAE8,P49406,0.5562260746955872,0.03133385,-0.265644907951355,-0.34109026193618774,94,134,True,False
MRPL47,MRPL11,Q9HD33,Q9Y3B7,0.533674418926239,0.03375381,-0.3441239297389984,-0.2710963487625122,142,51,True,False
MRPL22,MRPL47,Q9NWU5,Q9HD33,0.5336555242538452,0.0316828,-0.3346351981163025,-0.3441239297389984,141,142,True,False
MRPL47,GADD45GIP1,Q9HD33,Q8TAE8,0.5336490869522095,0.03133993,-0.3441239297389984,-0.265644907951355,142,94,True,False
NDUFS3,NDUFV2,O75489,P19404,0.5223165154457092,0.03133045,-0.2746622562408447,-0.20587074756622314,93,120,True,False
MRPL47,MRPL19,Q9HD33,P49406,0.5210844874382019,0.03145225,-0.3441239297389984,-0.34109026193618774,142,134,True,False
MRPL37,MRPL11,Q9BZE1,Q9Y3B7,0.519627571105957,0.03145999,-0.32610923051834106,-0.2710963487625122,85,51,True,False
MRPL37,MRPL40,Q9BZE1,Q9NQ50,0.5167796611785889,0.03277803,-0.32610923051834106,-0.30426573753356934,85,106,True,False
MRPL22,MRPL37,Q9NWU5,Q9BZE1,0.4936050176620483,0.03186319,-0.3346351981163025,-0.32610923051834106,141,85,True,False
MRPS33,MRPS9,Q9Y291,P82933,0.4930630922317505,0.03148662,-0.14613878726959229,-0.30211055278778076,18,125,True,False
HAX1,CLPB,O00165,Q9H078,0.4720599055290222,0.0468981,-0.2730000615119934,-0.20141541957855225,47,70,True,False
MRPL22,MRPL2,Q9NWU5,Q5T653,0.4611197412014007,0.0313218,-0.3346351981163025,-0.272825688123703,141,81,True,False
MRPL40,MRPL11,Q9NQ50,Q9Y3B7,0.4584950506687164,0.03364369,-0.30426573753356934,-0.2710963487625122,106,51,True,False
MRPL30,MRPL47,Q8TCC3,Q9HD33,0.45108762383461,0.03164141,-0.19453029334545135,-0.3441239297389984,24,142,True,False
MRPL37,MRPL30,Q9BZE1,Q8TCC3,0.4402674734592438,0.03140508,-0.32610923051834106,-0.19453029334545135,85,24,True,False
MORF4L1,EMSY,Q9UBU8,Q7Z589,0.4335853159427643,0.04504576,-0.10992132127285004,-0.10477422922849655,19,16,True,False
MRPL13,MRPL1,Q9BYD1,Q9BYD6,0.4274459183216095,0.0313218,-0.194338858127594,-0.22783102095127106,62,41,True,False
KAT2A,TADA3,Q92830,O75528,0.4066756069660187,0.052806,-0.30747702717781067,-0.19115325808525085,78,46,True,False
MRPL30,MRPL1,Q8TCC3,Q9BYD6,0.3998080193996429,0.0313218,-0.19453029334545135,-0.22783102095127106,24,41,True,False
MTX2,CHCHD3,O75431,Q9NX63,0.3904339671134949,0.03781597,-0.0301024429500103,-0.31541532278060913,29,91,True,False
MRPL2,MRPL1,Q5T653,Q9BYD6,0.3878379464149475,0.03185366,-0.272825688123703,-0.22783102095127106,81,41,True,False
MORF4L1,GATAD1,Q9UBU8,Q8WUU5,0.37246173620224,0.05204649,-0.10992132127285004,-0.24920612573623657,19,17,True,False
MRPL20,MRPL1,Q9BYC9,Q9BYD6,0.3639166951179504,0.03188485,-0.286260724067688,-0.22783102095127106,191,41,True,False
MRPL37,MRPL1,Q9BZE1,Q9BYD6,0.3530115783214569,0.03334516,-0.32610923051834106,-0.22783102095127106,85,41,True,False
DLD,PDHA1,P09622,P08559,0.3520726263523102,0.03159454,-0.2355181872844696,0.008225850760936737,138,21,True,False
MRPL14,MRPL1,Q6P1L8,Q9BYD6,0.340404063463211,0.03829659,-0.3079613149166107,-0.22783102095127106,150,41,True,False
COMMD8,VPS35L,Q9NX08,Q7Z3J2,0.3232442438602447,0.03908442,-0.16633015871047974,-0.18632608652114868,23,16,True,False
MRPL1,MRPL19,Q9BYD6,P49406,0.3161861300468445,0.03157064,-0.22783102095127106,-0.34109026193618774,41,134,True,False
MRPL40,MRPL1,Q9NQ50,Q9BYD6,0.2978409230709076,0.03338938,-0.30426573753356934,-0.22783102095127106,106,41,True,False
RBM34,DDX31,P42696,Q9H8H2,0.2775979936122894,0.04882873,-0.22026367485523224,-0.25777435302734375,24,31,True,False
SMARCD1,KEAP1,Q96GM5,Q14145,0.2730412185192108,0.04585365,-0.25394558906555176,-0.26101887226104736,120,203,True,False
LCE1B,KRTAP10-9,Q5T7P3,P60411,0.268366664648056,0.03133,-0.2954021394252777,-0.3197839558124542,39,126,True,False
MRPL47,MRPL1,Q9HD33,Q9BYD6,0.2592990100383758,0.03265045,-0.3441239297389984,-0.22783102095127106,142,41,True,False
HDAC2,MBD3,Q92769,O95983,0.2539840340614319,0.05382528,-0.05978936329483986,-0.05693429708480835,23,16,True,False
CTBP1,IKZF1,Q13363,Q13422,0.2440617382526397,0.07439743,0.002487633842974901,-0.04607044905424118,16,22,True,False
MORF4L1,KDM5A,Q9UBU8,P29375,0.2401659339666366,0.03326134,-0.10992132127285004,-0.1767067313194275,19,25,True,False
DPH2,FARS2,Q9BQC3,O95363,0.2322493344545364,0.03809235,-0.2634696364402771,-0.3320689797401428,59,234,True,False
KRTAP5-3,LCE1B,Q6L8H2,Q5T7P3,0.2280524522066116,0.0314724,-0.2603580951690674,-0.2954021394252777,19,39,True,False
TEKT4,ARID5A,Q8WW24,Q03989,0.2278593331575393,0.03522836,-0.2975096106529236,-0.25626417994499207,28,18,True,False
MRPL1,GADD45GIP1,Q9BYD6,Q8TAE8,0.2265324294567108,0.03153831,-0.22783102095127106,-0.265644907951355,41,94,True,False
CXXC1,ASH2L,Q9P0U4,Q9UBL3,0.2109429091215133,0.04017311,-0.24405506253242493,-0.26129305362701416,74,54,True,False
