model,a,b,entry,first,f1,null_correct,method,res,dep,insil,ok
ma-bak-cepc-0395,P36131,P53168,8q84,2023-12-06,0.8732394366197183,0.005,ELECTRON MICROSCOPY,3.15,2023-08-17,True,True
ma-bak-cepc-0396,P36131,Q03954,8q85,2023-12-06,0.7719298245614035,0.0,ELECTRON MICROSCOPY,3.97,2023-08-17,True,True
ma-bak-cepc-0399,P36146,Q07845,7y18,2023-06-14,0.8235294117647058,0.0,X-RAY DIFFRACTION,3.69,2022-06-07,False,True
ma-bak-cepc-0404,P36162,P35734,8q84,2023-12-06,0.9473684210526316,0.035,ELECTRON MICROSCOPY,3.15,2023-08-17,True,True
ma-bak-cepc-0405,P36162,P69852,8q84,2023-12-06,0.3582089552238806,0.0,ELECTRON MICROSCOPY,3.15,2023-08-17,True,False
ma-bak-cepc-0406,P36162,Q03954,8q84,2023-12-06,0.9594594594594594,0.035,ELECTRON MICROSCOPY,3.15,2023-08-17,True,True
ma-bak-cepc-0443,P38255,P31385,8hpo,2023-05-03,0.448,0.0,ELECTRON MICROSCOPY,2.6,2022-12-12,False,False
ma-bak-cepc-0444,P38255,Q07458,8hpo,2023-05-03,0.8205128205128205,0.0,ELECTRON MICROSCOPY,2.6,2022-12-12,False,True
ma-bak-cepc-0452,P38302,Q12309,9dtr,2024-12-25,0.9041095890410958,0.0,ELECTRON MICROSCOPY,2.31,2024-10-01,False,True
ma-bak-cepc-0465,P38429,P40505,9v2w,2023-05-03,0.6521739130434783,0.0,ELECTRON MICROSCOPY,3.4,2025-05-21,False,True
ma-bak-cepc-0502,P38927,P12689,8tlt,2024-05-15,0.8111888111888111,0.0,ELECTRON MICROSCOPY,2.85,2023-07-27,False,True
ma-bak-cepc-0503,P38953,P40465,9q2c,2026-07-22,0.8943089430894309,0.0,ELECTRON MICROSCOPY,3.06,2025-08-14,False,True
ma-bak-cepc-0508,P39012,P38875,9ub8,2026-04-08,0.8695652173913043,0.0,ELECTRON MICROSCOPY,4.41,2025-04-02,False,True
ma-bak-cepc-0515,P39515,Q02889,9j9b,2025-09-10,0.8524590163934426,0.0,ELECTRON MICROSCOPY,3.83,2024-08-22,False,True
ma-bak-cepc-0524,P39731,P47149,9s4q,2026-04-08,0.898936170212766,0.07,ELECTRON MICROSCOPY,4.9,2025-07-28,True,True
ma-bak-cepc-0529,P39744,P10962,8e5t,2023-04-12,0.3076923076923077,0.0,ELECTRON MICROSCOPY,4.0,2022-08-22,False,False
ma-bak-cepc-0535,P40046,P47075,7ytj,2023-02-22,0.8177777777777778,0.005,ELECTRON MICROSCOPY,3.0,2022-08-15,False,True
ma-bak-cepc-0571,P40505,P31385,9v2v,2023-05-03,0.84,0.025,ELECTRON MICROSCOPY,3.0,2025-05-21,False,True
ma-bak-cepc-0577,P40568,P39731,9s5n,2026-04-08,0.054054054054054,0.0,ELECTRON MICROSCOPY,7.2,2025-07-29,False,False
ma-bak-cepc-0578,P40568,P47149,9s5n,2026-04-08,0.34375,0.0,ELECTRON MICROSCOPY,7.2,2025-07-29,False,False
ma-bak-cepc-0579,P40568,Q12143,9s5n,2026-04-08,0.8443271767810027,0.01,ELECTRON MICROSCOPY,7.2,2025-07-29,False,True
ma-bak-cepc-0586,P41733,P38875,9ub8,2026-04-08,0.926605504587156,0.0,ELECTRON MICROSCOPY,4.41,2025-04-02,False,True
ma-bak-cepc-0587,P41733,P39012,9ub8,2026-04-08,0.0,0.0,ELECTRON MICROSCOPY,4.41,2025-04-02,False,False
ma-bak-cepc-0588,P41733,Q04080,9ub7,2026-04-08,0.8656716417910447,0.0,ELECTRON MICROSCOPY,3.61,2025-04-02,False,True
ma-bak-cepc-0596,P42846,P25586,9g28,2025-06-18,0.7005649717514124,0.0,ELECTRON MICROSCOPY,3.18,2024-07-10,False,True
ma-bak-cepc-0612,P46670,P40987,9edr,2026-02-04,0.6379310344827587,0.0,ELECTRON MICROSCOPY,3.8,2024-11-17,False,True
ma-bak-cepc-0637,P47088,P25580,23gf,2026-09-09,0.9148936170212766,0.0,ELECTRON MICROSCOPY,3.3,2026-02-05,False,True
ma-bak-cepc-0643,P47128,Q12311,9uuo,2025-12-10,0.8347826086956521,0.015,ELECTRON MICROSCOPY,3.68,2025-05-07,False,True
ma-bak-cepc-0674,P49018,P39012,9ub7,2026-04-08,0.5151515151515151,0.0,ELECTRON MICROSCOPY,3.61,2025-04-02,False,True
ma-bak-cepc-0675,P49018,Q04080,9ub7,2026-04-08,0.8200836820083682,0.0,ELECTRON MICROSCOPY,3.61,2025-04-02,False,True
ma-bak-cepc-0700,P53146,P28791,8eki,2023-10-04,0.8421052631578947,0.0,ELECTRON MICROSCOPY,4.5,2022-09-21,False,True
ma-bak-cepc-0701,P53146,Q12745,8eki,2023-10-04,0.9176470588235294,0.0,ELECTRON MICROSCOPY,4.5,2022-09-21,False,True
ma-bak-cepc-0719,P53267,Q12248,8q84,2023-12-06,0.6597938144329897,0.035,ELECTRON MICROSCOPY,3.15,2023-08-17,True,True
ma-bak-cepc-0732,P53335,P53131,8rdy,2024-10-23,0.8235294117647058,0.0,ELECTRON MICROSCOPY,3.33,2023-12-08,True,True
ma-bak-cepc-0734,P53437,P38204,7z0o,2022-04-27,0.9521410579345088,0.295,ELECTRON MICROSCOPY,2.8,2022-02-23,False,True
ma-bak-cepc-0771,P05748,P21304,10zz,2026-07-01,0.4242424242424242,0.0,ELECTRON MICROSCOPY,2.8,2026-02-13,False,False
ma-bak-cepc-0780,P69851,P69852,8q84,2023-12-06,0.918032786885246,0.24,ELECTRON MICROSCOPY,3.15,2023-08-17,True,True
ma-bak-cepc-0794,Q01852,P39515,9n84,2023-06-21,0.5714285714285714,0.0,ELECTRON MICROSCOPY,3.2,2025-02-07,False,True
ma-bak-cepc-0797,Q02199,P14907,7wot,2022-01-26,0.5560165975103735,0.0,ELECTRON MICROSCOPY,3.73,2022-01-22,False,True
ma-bak-cepc-0798,Q02199,P48837,7wot,2022-01-26,0.6878980891719745,0.0,ELECTRON MICROSCOPY,3.73,2022-01-22,False,True
ma-bak-cepc-0809,Q02574,P48581,8fs6,2022-03-23,0.9176470588235294,0.0,ELECTRON MICROSCOPY,2.9,2023-01-09,False,True
ma-bak-cepc-0821,Q02793,P23179,8uru,2024-06-26,0.8421052631578947,0.0,ELECTRON MICROSCOPY,3.7,2023-10-26,False,True
ma-bak-cepc-0863,Q03579,P28496,8qtr,2023-12-13,0.7848101265822784,0.0,ELECTRON MICROSCOPY,3.2,2023-10-13,False,True
ma-bak-cepc-0868,Q03723,P39007,7oci,2022-02-16,0.964824120603015,0.0,ELECTRON MICROSCOPY,3.46,2021-04-27,False,True
ma-bak-cepc-0878,Q04080,P38875,9ub8,2026-04-08,0.8545454545454545,0.0,ELECTRON MICROSCOPY,4.41,2025-04-02,False,True
ma-bak-cepc-0913,Q05541,P43124,7tve,2022-06-22,0.8692579505300353,0.01,ELECTRON MICROSCOPY,3.8,2022-02-04,False,True
ma-bak-cepc-0926,Q06163,Q03096,9swn,2026-04-08,0.8427672955974843,0.0,ELECTRON MICROSCOPY,3.0,2025-10-07,False,True
ma-bak-cepc-0945,Q06551,P41912,8hfc,2023-11-22,0.9433962264150944,0.0,ELECTRON MICROSCOPY,3.5,2022-11-10,False,True
ma-bak-cepc-0960,Q07913,P43124,7ymd,2022-06-22,0.7111111111111111,0.0,ELECTRON MICROSCOPY,4.176,2022-07-28,False,True
ma-bak-cepc-0961,Q07913,Q05541,7tve,2022-06-22,0.8544600938967136,0.005,ELECTRON MICROSCOPY,3.8,2022-02-04,False,True
ma-bak-cepc-0992,Q08923,P31385,9v2v,2026-05-06,0.3870967741935484,0.0,ELECTRON MICROSCOPY,3.0,2025-05-21,False,False
ma-bak-cepc-0993,Q08949,P48581,8fs5,2022-03-23,0.7272727272727273,0.0,ELECTRON MICROSCOPY,2.76,2023-01-09,False,True
ma-bak-cepc-0994,Q08949,Q02574,8fs7,2022-03-23,0.6741573033707865,0.0,ELECTRON MICROSCOPY,2.85,2023-01-09,False,True
ma-bak-cepc-1015,Q12124,P40356,7uil,2023-02-15,0.6909090909090909,0.0,ELECTRON MICROSCOPY,4.3,2022-03-29,False,True
ma-bak-cepc-1021,Q12143,P47149,9s4q,2026-04-08,0.8813559322033898,0.0,ELECTRON MICROSCOPY,4.9,2025-07-28,True,True
ma-bak-cepc-1033,Q12248,P69850,8q84,2023-12-06,0.8760330578512396,0.085,ELECTRON MICROSCOPY,3.15,2023-08-17,True,True
ma-bak-cepc-1047,Q12343,Q12321,8cen,2023-02-15,0.8947368421052632,0.0,ELECTRON MICROSCOPY,3.0,2023-02-02,False,True
ma-bak-cepc-1053,Q12387,Q06504,8bip,2023-02-08,0.9294605809128632,0.0,ELECTRON MICROSCOPY,3.1,2022-11-02,False,True
ma-bak-cepc-1060,Q12432,Q04779,8kc7,2023-05-31,0.7015706806282722,0.005,ELECTRON MICROSCOPY,3.46,2023-08-06,False,True
ma-bak-cepc-1084,Q3E790,P40970,8qof,2023-10-11,0.9133858267716536,0.0,ELECTRON MICROSCOPY,3.3,2023-09-28,False,True
ma-bak-cepc-1101,Q99216,Q08444,8c01,2022-12-28,0.8571428571428571,0.0,ELECTRON MICROSCOPY,2.7,2022-12-15,False,True
