uid,group,f1,status,entry,n_pred,n_exp
Q15906_Q9Y230,low,0.0,ok,9y3e,0.0,46.0
Q15906_Q9Y265,low,0.0,ok,8x1c,0.0,65.0
Q16533_Q5SXM2,low,0.0,ok,7zwd,0.0,30.0
Q16533_Q92966,confident,0.8365019011406845,ok,9fsq,133.0,130.0
Q16777_Q16778,confident,0.9661016949152542,ok,7u0g,117.0,119.0
Q16878_Q96CX6,confident,0.8607594936708861,ok,9t7v,40.0,39.0
Q53G59_Q9H4M7,low,0.0,ok,8oio,1.0,20.0
Q53G59_Q9UBV8,low,0.0,ok,8rbh,0.0,31.0
Q567U6_Q86VX2,low,0.0,ok,8p0w,0.0,23.0
Q567U6_Q86X83,confident,0.7529411764705882,ok,8f2u,39.0,46.0
Q567U6_Q8TCE6,confident,0.5555555555555556,ok,8p0v,10.0,26.0
Q567U6_Q9UBI1,low,0.0,ok,8p0w,0.0,14.0
Q5EBL4_Q86T03,low,0.0,ok,9qm9,0.0,33.0
Q5JPE7_Q969V3,low,0.05063291139240506,ok,9c7v,7.0,72.0
Q5JVF3_Q96PV6,confident,0.762589928057554,ok,9dlv,81.0,58.0
Q5JVL4_Q969V4,low,0.0,ok,7ung,0.0,13.0
Q5SY16_Q9Y4W2,confident,0.8729641693811075,ok,26lk,161.0,146.0
Q5TKA1_Q96GY3,confident,0.8031496062992126,ok,7r1d,71.0,56.0
Q5VU69_Q9Y5B8,confident,0.8852459016393442,ok,8j07,34.0,27.0
Q658Y4_Q9HAS0,confident,0.9066666666666666,ok,24ip,38.0,37.0
Q68CZ6_Q96CS2,confident,0.6764705882352942,ok,7sqk,23.0,45.0
Q68CZ6_Q9H6D7,confident,,no model,,,
Q6IA86_Q9H9T3,confident,0.7572815533980582,ok,8ptx,61.0,42.0
Q6IBW4_Q86XI2,confident,0.6947368421052632,ok,9f5w,122.0,68.0
Q6IBW4_Q9NTJ3,confident,0.0,ok,9f5w,33.0,66.0
Q6IPU0_Q71F23,confident,0.8292682926829268,ok,9tax,82.0,82.0
Q6IPU0_Q7L2Z9,low,0.0,ok,7pb8,0.0,63.0
Q6IPU0_Q9BU64,confident,,no model,,,
Q6NZ67_Q96RT7,low,0.0,ok,9qvm,2.0,12.0
Q6NZ67_Q9BSJ2,confident,0.9215686274509803,ok,9qvm,103.0,101.0
Q6P582_Q96RT7,low,0.0,ok,8rx1,1.0,5.0
Q6P9B9_Q96N11,confident,0.8245614035087719,ok,8rc4,48.0,66.0
Q6PI98_Q9Y230,low,0.20689655172413793,ok,9ge5,6.0,23.0
Q6PI98_Q9Y265,low,0.0,ok,9gev,1.0,12.0
Q6SPF0_Q96JM7,confident,1.0,ok,8y77,21.0,21.0
Q6UWZ7_Q9NWV8,low,0.0,ok,9smp,0.0,17.0
Q6ZNE5_Q8NEB9,low,0.0,ok,9mhg,2.0,14.0
Q71F23_Q7L2Z9,confident,0.8,ok,9tax,138.0,172.0
Q7L5Y9_Q9H871,confident,,no model,,,
Q7Z3J2_Q9UBQ0,confident,0.8738738738738738,ok,8syn,110.0,112.0
Q7Z4G1_Q8N668,confident,0.8900523560209425,ok,8f2u,99.0,92.0
Q7Z4G1_Q9H0A8,confident,0.9473684210526315,ok,8p0w,28.0,29.0
Q7Z4H7_Q99871,confident,,no exact-seq mapping,,,
Q7Z4H7_Q9NVX0,confident,0.7705627705627706,ok,7sqk,115.0,116.0
Q7Z4L5_Q96FT9,low,0.0,ok,8fgw,12.0,43.0
Q7Z6J9_Q8NCE0,confident,0.9015151515151515,ok,8iss,135.0,129.0
Q86UE8_Q9Y294,confident,0.20833333333333334,ok,7lo0,26.0,22.0
Q86VS8_Q8N612,low,0.041666666666666664,ok,8qat,5.0,43.0
Q86VS8_Q9H8T0,confident,0.8089887640449438,ok,8qat,46.0,43.0
Q86VX2_Q9Y6G5,confident,0.19607843137254902,ok,8esd,81.0,21.0
Q86X83_Q9H0A8,confident,0.1651376146788991,ok,8f2u,90.0,19.0
Q86X83_Q9UBI1,confident,0.96,ok,8p0w,114.0,111.0
Q86XP3_Q9BWJ5,low,0.15384615384615385,ok,7evn,1.0,12.0
Q86XR8_Q96MT8,confident,0.0,ok,9i7q,4.0,24.0
Q86YC2_Q9UBU8,low,0.0,ok,7s4a,1.0,47.0
Q8IW40_Q9Y230,confident,0.9230769230769231,ok,29jr,25.0,27.0
Q8IWY9_Q9Y294,confident,0.6631578947368421,ok,9cvc,79.0,111.0
Q8IXW5_Q9UHW5,low,0.0,ok,9t5j,0.0,38.0
Q8IY18_Q8WV22,confident,0.9491525423728814,ok,9lwj,28.0,31.0
Q8IY18_Q96MF7,confident,0.8,ok,9lwj,74.0,76.0
Q8IZL8_Q9BV38,confident,0.7053140096618358,ok,8fl4,94.0,113.0
Q8IZL8_Q9NXF1,low,0.1724137931034483,ok,9dum,31.0,27.0
Q8N612_Q9H8T0,confident,0.8409090909090909,ok,8qat,95.0,81.0
Q8N668_Q9P000,confident,0.25,ok,8p0w,114.0,30.0
Q8N720_Q9NVM9,low,0.05714285714285714,ok,8pk6,1.0,34.0
Q8N8R7_Q96T68,confident,0.9272727272727272,ok,8hfp,55.0,55.0
Q8NBT2_Q9H410,confident,,no exact-seq mapping,,,
Q8TAQ2_Q9NPI1,low,0.12121212121212122,ok,7vdv,19.0,47.0
Q8TAT6_Q92890,confident,,no model,,,
Q8TDN6_Q99848,confident,0.9407114624505929,ok,8fkt,128.0,125.0
Q8TF46_Q9NQT5,low,0.0,ok,9g8m,20.0,20.0
Q8WTT2_Q9Y3T9,confident,0.8056537102473498,ok,8fkv,136.0,147.0
Q8WUA4_Q9UKN8,low,0.27586206896551724,ok,8cli,39.0,106.0
Q8WUB8_Q96GM5,low,0.0,ok,7vdv,2.0,22.0
Q8WUD4_Q99459,low,0.0,ok,9s2e,0.0,7.0
Q8WUD4_Q9BZJ0,confident,0.8450704225352113,ok,9fmd,35.0,36.0
Q8WUD4_Q9HCS7,confident,0.7790697674418605,ok,8ro2,75.0,97.0
Q92643_Q969N2,confident,0.9166666666666666,ok,7w72,105.0,111.0
Q92643_Q96S52,confident,0.8368200836820083,ok,7w72,121.0,118.0
Q969G3_Q9NPI1,low,0.0,ok,7vdv,0.0,22.0
Q969N2_Q96S52,confident,0.868421052631579,ok,8imx,77.0,75.0
Q969R8_Q9Y664,confident,0.9316770186335404,ok,9o5a,78.0,83.0
Q96CS2_Q9H6D7,confident,0.7705779334500875,ok,7sqk,282.0,289.0
Q96DZ1_Q9UBV2,confident,0.84375,ok,8kes,99.0,93.0
Q96F24_Q99570,confident,0.82,ok,9tz3,48.0,52.0
Q96FT9_Q9P2L0,confident,0.8242424242424242,ok,8bbe,93.0,72.0
Q96GM5_Q9NPI1,low,0.0,ok,7y8r,18.0,43.0
Q96HY6_Q96JB5,confident,0.5098039215686274,ok,9gy4,28.0,23.0
Q96IY1_Q9HBM1,low,0.0,ok,8ppr,0.0,10.0
Q96LI5_Q9UIV1,confident,0.8089887640449438,ok,7voi,51.0,38.0
Q96MF7_Q96SB8,low,0.0,ok,9lwj,5.0,18.0
Q96RL1_Q9NWV8,low,0.08,ok,9smp,4.0,46.0
Q96RQ3_Q9HCC0,confident,0.9375,ok,8jxm,80.0,80.0
Q96S44_Q9NPF4,confident,0.6355140186915887,ok,9fl9,68.0,39.0
Q96S52_Q9H490,confident,0.8695652173913043,ok,8imx,31.0,38.0
Q96SY0_Q9NVR2,confident,0.5663716814159292,ok,8rbx,42.0,71.0
Q99436_Q9Y244,confident,0.8296296296296296,ok,8yix,68.0,67.0
Q99832_Q9H2J4,low,0.0,ok,7nvm,0.0,11.0
Q99871_Q9BT25,confident,,no exact-seq mapping,,,
Q99871_Q9NVX0,confident,,no exact-seq mapping,,,
Q9BQ95_Q9H845,low,0.0,ok,8phe,3.0,41.0
Q9BRR8_Q9BRX9,confident,0.916030534351145,ok,9s2f,65.0,66.0
Q9BS16_Q9H3R5,confident,0.8957871396895787,ok,7xho,222.0,229.0
Q9BT04_Q9ULD6,confident,0.8426395939086294,ok,7q3d,99.0,98.0
Q9BT25_Q9NVX0,confident,0.6289308176100629,ok,7sqk,69.0,90.0
Q9BTE1_Q9UJW0,confident,0.8372093023255814,ok,9b85,68.0,61.0
Q9BV38_Q9NXF1,low,0.0,ok,8fl2,2.0,81.0
Q9BW66_Q9NX04,confident,,no model,,,
Q9BZE4_Q9UKD2,low,0.0,ok,8idy,0.0,10.0
Q9GZQ3_Q9UBI1,confident,0.22727272727272727,ok,8f2u,29.0,15.0
Q9H0A8_Q9UBI1,low,0.0,ok,8f2r,28.0,5.0
Q9H410_Q9HBM1,low,0.0,ok,8ppr,2.0,19.0
Q9H9A5_Q9UKZ1,confident,0.8457943925233645,ok,8bfi,224.0,204.0
Q9HCN4_Q9UHW5,confident,0.7835051546391752,ok,9t5j,101.0,93.0
Q9NX08_Q9UBI1,confident,0.16541353383458646,ok,8f2r,113.0,20.0
Q9NXF1_Q9Y4W2,confident,0.9047619047619048,ok,8fl3,43.0,41.0
Q9NXL9_Q9UJA3,confident,0.02867383512544803,ok,8s91,150.0,129.0
Q9P000_Q9Y6G5,confident,0.04918032786885246,ok,8p0w,113.0,9.0
Q9UBB9_Q9Y5B6,confident,0.8796296296296297,ok,8ro2,119.0,97.0
Q9UBI1_Q9Y6G5,confident,0.9056603773584906,ok,8f2u,26.0,27.0
Q9UHR5_Q9UK58,confident,0.9485294117647058,ok,9vuh,131.0,141.0
Q9UPM8_Q9Y587,confident,0.69,ok,9u9i,100.0,100.0
Q9Y5Q8_Q9Y5Q9,confident,0.8852459016393442,ok,8clk,150.0,155.0
