job,n,aa,loci
vc_pilot_044,11,3965,VC_A0077::::VC_2459::::VC_1984::::VC_0403::::VC_2425::::VC_0482::::VC_0112::::VC_A0812::::VC_1409::::VC_0463::::VC_2657
vc_pilot_045,9,3837,VC_1879::::VC_2657::::VC_A0085::::VC_2248::::VC_1658::::VC_0766::::VC_1419::::VC_2285::::VC_0620
vc_pilot_046,9,3829,VC_0622::::VC_1153::::VC_1038::::VC_1639::::VC_2631::::VC_0462::::VC_1409::::VC_0695::::VC_1658
vc_pilot_047,10,3982,VC_A0516::::VC_0112::::VC_A0737::::VC_0823::::VC_A0085::::VC_2634::::VC_0875::::VC_A0077::::VC_1773::::VC_0339
vc_pilot_048,11,3896,VC_0806::::VC_0396::::VC_A0242::::VC_0032::::VC_1419::::VC_0321::::VC_0137::::VC_1845::::VC_0695::::VC_A0590::::VC_0482
vc_pilot_049,10,3846,VC_A0545::::VC_2657::::VC_0137::::VC_2248::::VC_0339::::VC_A0604::::VC_2426::::VC_1658::::VC_A0601::::VC_0463
vc_pilot_050,11,3993,VC_2424::::VC_2459::::VC_0048::::VC_0403::::VC_1658::::VC_0823::::VC_0336::::VC_0806::::VC_2657::::VC_2248::::VC_1419
vc_pilot_051,10,3850,VC_2630::::VC_1419::::VC_A0604::::VC_1409::::VC_0823::::VC_0860::::VC_1845::::VC_0766::::VC_0048::::VC_0482
vc_pilot_052,9,3892,VC_1879::::VC_0403::::VC_0462::::VC_0032::::VC_0339::::VC_2630::::VC_2426::::VC_A0812::::VC_2208
vc_pilot_053,10,3907,VC_0194::::VC_0858::::VC_0112::::VC_1406::::VC_2634::::VC_0736::::VC_A0604::::VC_0806::::VC_1984::::VC_0860
vc_pilot_054,8,3767,VC_0622::::VC_0112::::VC_2459::::VC_1406::::VC_A0737::::VC_A0545::::VC_0766::::VC_0482
vc_pilot_055,11,3954,VC_A0516::::VC_2459::::VC_2657::::VC_2248::::VC_0403::::VC_2285::::VC_2426::::VC_0048::::VC_0339::::VC_0194::::VC_0482
vc_pilot_056,10,3953,VC_0620::::VC_0396::::VC_A0242::::VC_1414::::VC_1773::::VC_0048::::VC_A0545::::VC_1639::::VC_2208::::VC_0482
vc_pilot_057,9,3926,VC_A0601::::VC_1419::::VC_A0077::::VC_0695::::VC_0736::::VC_A0590::::VC_2424::::VC_0482::::VC_1402
vc_pilot_058,8,3891,VC_0622::::VC_2657::::VC_2248::::VC_2630::::VC_A0590::::VC_A0085::::VC_2285::::VC_0695
vc_pilot_059,9,3818,VC_1879::::VC_0823::::VC_0137::::VC_0736::::VC_1820::::VC_2208::::VC_0875::::VC_0766::::VC_0462
vc_pilot_060,8,3659,VC_1879::::VC_0695::::VC_0463::::VC_A0590::::VC_A0516::::VC_0860::::VC_1639::::VC_A0604
vc_pilot_061,9,3888,VC_1402::::VC_0339::::VC_1984::::VC_2426::::VC_0766::::VC_1414::::VC_A0812::::VC_0875::::VC_0321
vc_pilot_062,10,3968,VC_0336::::VC_1153::::VC_1845::::VC_0462::::VC_0463::::VC_1406::::VC_2285::::VC_2634::::VC_2425::::VC_1402
vc_pilot_063,8,3998,VC_0622::::VC_0823::::VC_A0812::::VC_0620::::VC_2634::::VC_2424::::VC_1984::::VC_2633
vc_pilot_064,9,3856,VC_A0077::::VC_2248::::VC_2426::::VC_A0604::::VC_2208::::VC_0336::::VC_0194::::VC_0766::::VC_1639
vc_pilot_065,9,3863,VC_A0601::::VC_1845::::VC_0875::::VC_1658::::VC_A0737::::VC_0806::::VC_1773::::VC_0032::::VC_0858
vc_pilot_066,10,3683,VC_A0545::::VC_0403::::VC_0823::::VC_2634::::VC_1409::::VC_A0590::::VC_0858::::VC_2632::::VC_0194::::VC_0695
vc_pilot_067,8,3973,VC_1879::::VC_0321::::VC_A0077::::VC_1406::::VC_2285::::VC_2424::::VC_1773::::VC_0860
vc_pilot_068,8,3839,VC_0622::::VC_0048::::VC_0736::::VC_0032::::VC_2633::::VC_0860::::VC_A0812::::VC_2248
vc_pilot_069,8,3629,VC_A0601::::VC_2634::::VC_2630::::VC_1773::::VC_0336::::VC_1402::::VC_A0737::::VC_0048
vc_pilot_070,9,3959,VC_A0516::::VC_0462::::VC_0620::::VC_0321::::VC_2425::::VC_0112::::VC_1409::::VC_2208::::VC_A0601
vc_pilot_071,9,3758,VC_0194::::VC_1773::::VC_0321::::VC_2634::::VC_2425::::VC_1658::::VC_A0590::::VC_2208::::VC_1402
vc_pilot_072,10,3959,VC_1414::::VC_2632::::VC_A0737::::VC_0463::::VC_2424::::VC_1639::::VC_A0085::::VC_A0604::::VC_0137::::VC_0403
vc_pilot_073,7,3837,VC_1879::::VC_1409::::VC_0806::::VC_1414::::VC_2630::::VC_A0077::::VC_2425
vc_pilot_074,7,3651,VC_0622::::VC_2208::::VC_2425::::VC_0137::::VC_1402::::VC_1773::::VC_1984
vc_pilot_075,9,3925,VC_0875::::VC_2459::::VC_0482::::VC_A0604::::VC_0620::::VC_0463::::VC_0736::::VC_0032::::VC_A0545
vc_pilot_076,7,3777,VC_0194::::VC_A0812::::VC_1639::::VC_0032::::VC_A0085::::VC_A0601::::VC_1879
vc_pilot_077,8,3776,VC_A0545::::VC_2425::::VC_2285::::VC_0137::::VC_A0812::::VC_1409::::VC_0336::::VC_1984
vc_pilot_078,7,3581,VC_A0516::::VC_0766::::VC_0032::::VC_0336::::VC_1414::::VC_0806::::VC_A0812
vc_pilot_079,6,3926,VC_0622::::VC_0806::::VC_A0077::::VC_0032::::VC_0875::::VC_A0545
vc_pilot_080,5,3539,VC_1879::::VC_0336::::VC_1402::::VC_A0545::::VC_0622
vc_pilot_081,6,3025,VC_0194::::VC_1414::::VC_2424::::VC_1845::::VC_0766::::VC_0875
vc_pilot_082,3,1453,VC_2630::::VC_0736::::VC_1406
vc_pilot_083,3,1098,VC_1984::::VC_0695::::VC_A0590
vc_pilot_084,2,1757,VC_A0516::::VC_0622
vc_pilot_085,2,1005,VC_A0601::::VC_0860
